wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jfs2copp
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260617_192737-jfs2copp
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__5__1781738855
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/jfs2copp
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=448, return=-6.856663980093067
global_step=512, return=-2.554196483051915
global_step=640, return=-0.9840334234016095
global_step=640, return=-3.2606948186957485
global_step=704, return=-3.660935341901414
global_step=704, return=-2.177704660009833
global_step=704, return=-8.061494196705112
global_step=704, return=-2.6973420270815645
global_step=768, return=0.25310913467549145
global_step=768, return=2.329562083274845
global_step=768, return=-4.170673848739171
global_step=768, return=-0.5775311771611771
global_step=768, return=1.0997199939114153
global_step=832, return=-5.628663925161434
global_step=832, return=0.5546519881870045
global_step=832, return=0.38603375028675924
global_step=832, return=-1.3051001335334769
global_step=832, return=-2.9949890146303826
global_step=832, return=-1.011037815497044
global_step=896, return=0.012062595146059174
global_step=896, return=-1.340936937042125
global_step=896, return=1.1721662914646584
global_step=896, return=-2.864736204484062
global_step=896, return=-3.9119551838061435
global_step=960, return=-0.029508830586554957
global_step=960, return=-9.069000452717024
global_step=960, return=2.0256381947489075
global_step=960, return=-2.972743962552463
global_step=960, return=0.03086055364010276
global_step=960, return=-8.395465449567014
global_step=960, return=-4.9236692328532135
global_step=1024, return=5.079762668369054
global_step=1024, return=2.3013803521874197
global_step=1024, return=-7.404489713868944
global_step=1024, return=0.2894541945777894
global_step=1088, return=2.1168200525448517
global_step=1088, return=-0.8879077200130925
