wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_004914-nxg2js6b
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__6__1781758152
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/nxg2js6b
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=448, return=-4.570436990355323
global_step=512, return=-3.03198936954519
global_step=512, return=-4.086575058082483
global_step=576, return=-2.734943275264451
global_step=640, return=-3.7051166067269596
global_step=640, return=-6.317103895308851
global_step=640, return=-3.0679775834169254
global_step=640, return=-2.2430842404411906
global_step=704, return=-4.810878616243554
global_step=704, return=-2.8702358107467614
global_step=704, return=0.8627189724886979
global_step=704, return=-2.2470660728107372
global_step=704, return=-5.104109249054323
global_step=768, return=-2.8248046729384084
global_step=768, return=-1.061506720914952
global_step=832, return=3.722166120795379
global_step=832, return=-3.8782040916591174
global_step=832, return=-3.1571365820775545
global_step=832, return=-3.539837374599493
global_step=896, return=-6.159478049637114
global_step=896, return=-7.109454624800467
global_step=960, return=-7.636174138490714
global_step=960, return=-3.080799568488916
global_step=960, return=-1.4864784530831603
global_step=1024, return=2.0778039521347127
global_step=1024, return=-1.101904087247968
global_step=1024, return=-5.955671535509055
global_step=1024, return=-6.354906239961929
global_step=1024, return=-8.2535625472606
global_step=1024, return=0.5671063441492634
global_step=1088, return=-2.3234639567114277
global_step=1088, return=3.785632402939522
global_step=1152, return=-2.503804365011275
global_step=1152, return=-9.656144225365116
global_step=1152, return=-4.686506298625623
global_step=1152, return=-2.4526273401321594
global_step=1152, return=-4.370337714219455
global_step=1152, return=-7.594565398127458
global_step=1152, return=-0.3128800205908111
global_step=1216, return=-5.662657417287424
global_step=1280, return=0.06631819682926188
global_step=1344, return=2.2948577736201905
global_step=1344, return=0.5762698030046689
global_step=1344, return=-1.6420757568392195
global_step=1344, return=-9.000854700206835
global_step=1344, return=-0.5901717806515638
global_step=1408, return=-3.295789603882919
global_step=1408, return=-5.789177230316957
global_step=1408, return=-1.9675879704604136
global_step=1472, return=-1.8693521315973223
global_step=1472, return=14.15356421116054
global_step=1472, return=-1.7510316146232976
global_step=1472, return=4.7866987982720275
global_step=1536, return=-0.8725365854436686
global_step=1536, return=-5.2304732919492185
global_step=1536, return=-4.881342473023423
global_step=1536, return=6.25918931191307
global_step=1600, return=0.5226200401541179
global_step=1600, return=-0.8276995360012951
global_step=1600, return=-8.51835485555183
global_step=1600, return=13.415576411954651
global_step=1600, return=-4.614042627175293
global_step=1664, return=11.81545732205909
global_step=1664, return=-7.200947316575208
global_step=1664, return=1.134789338799381
global_step=1728, return=-8.414521601277697
global_step=1728, return=-2.033226964976614
global_step=1728, return=-0.25422928503676023
global_step=1792, return=0.4897433697926372
global_step=1792, return=0.5291057412872813
global_step=1792, return=-2.302594558226
global_step=1792, return=-6.4445110366913525
global_step=1792, return=-4.741872556315055
global_step=1856, return=-1.1777113395314887
global_step=1920, return=-5.0821760954589115
global_step=1920, return=2.8772173013504263
global_step=1920, return=3.9418204491089908
global_step=1920, return=-7.839779902337405
global_step=1984, return=-4.080305930151207
global_step=1984, return=2.3256662948377134
global_step=2048, return=-1.2609257156996079
global_step=2048, return=-2.895550282110352
global_step=2112, return=7.169544129149145
global_step=2112, return=-3.731451563663306
global_step=2176, return=-0.5862427623775236
global_step=2176, return=-5.3315403747663375
global_step=2176, return=-8.629667332602734
global_step=2176, return=-2.2368187276959453
global_step=2176, return=9.879926091933186
global_step=2240, return=-0.6627586704293509
global_step=2304, return=5.267234365332529
global_step=2304, return=-3.1669879436894663
global_step=2304, return=-1.5441751123342835
global_step=2304, return=-8.554433975908825
global_step=2368, return=3.2466172644371825
global_step=2496, return=-3.378006477027056
global_step=2496, return=-2.2039029523844187
global_step=2496, return=1.0876161155937047
global_step=2496, return=-1.610248624551101
global_step=2560, return=5.769709751028303
global_step=2560, return=7.594707549365953
global_step=2560, return=3.964808765897481
global_step=2624, return=-3.610883368286413
global_step=2624, return=-2.825809262181618
global_step=2624, return=-1.014304794450287
global_step=2624, return=-7.4114658218997995
global_step=2624, return=-4.1086699815167
global_step=2624, return=-2.22613677770196
global_step=2624, return=2.1234429395169867
global_step=2688, return=0.34266687533032636
global_step=2688, return=-1.6638525577507313
global_step=2688, return=-8.486780445033498
global_step=2688, return=-0.9651807257619625
global_step=2752, return=-6.228876161926959
global_step=2752, return=-6.566314737831084
global_step=2752, return=13.910926110956126
global_step=2752, return=-4.056778319806787
global_step=2752, return=-2.7773847555741162
global_step=2752, return=-4.516221311490225
global_step=2752, return=-4.27984152259538
global_step=2816, return=-7.175437005728556
global_step=2816, return=1.08592909478454
global_step=2816, return=-1.4148654303198136
global_step=2880, return=-4.622474367892266
global_step=2880, return=2.9341010394975235
global_step=2880, return=-12.023759769546505
global_step=2880, return=1.9457052034526332
global_step=2880, return=-3.3687016968005112
global_step=2944, return=-3.487276581972929
global_step=3008, return=4.215674957447949
global_step=3008, return=0.20742011596183962
global_step=3008, return=-0.925163764921744
global_step=3072, return=5.024807463974625
global_step=3136, return=0.439854591817755
global_step=3136, return=-1.9486253960704794
global_step=3200, return=2.467554008250881
global_step=3200, return=-2.0926151731828986
global_step=3200, return=0.6306025272754064
global_step=3264, return=-6.944831777145615
global_step=3264, return=-0.7948073361635226
global_step=3264, return=0.20166144566430333
global_step=3328, return=0.49981717176239804
global_step=3392, return=-4.462275255704167
global_step=3392, return=0.18473450451300977
global_step=3392, return=6.059279429742392
global_step=3456, return=-1.8681020577444811
global_step=3456, return=0.6814092862620063
global_step=3456, return=1.192643644790697
global_step=3456, return=-6.10516244570003
global_step=3520, return=-6.82446546640184
global_step=3520, return=-1.417329010950675
global_step=3520, return=-0.3914157413898891
global_step=3520, return=-6.786163079944793
global_step=3520, return=-4.3827632661055596
global_step=3584, return=-0.9201901800973941
global_step=3584, return=0.19153172083836556
global_step=3584, return=1.9392353325260632
global_step=3584, return=-5.490115210689717
global_step=3584, return=-3.418507712835665
global_step=3584, return=4.836048047430133
global_step=3584, return=-1.4156637976870772
global_step=3584, return=4.155951704276493
global_step=3584, return=-1.0597202258470624
global_step=3584, return=5.93290264994355
global_step=3648, return=1.134095255893084
global_step=3648, return=-0.8666416658400498
global_step=3712, return=1.1385618903606478
global_step=3776, return=2.705168290807449
global_step=3776, return=-1.038535513284539
global_step=3776, return=-2.842208337332836
global_step=3840, return=2.602690243978361
global_step=3840, return=-5.711798287754022
global_step=3904, return=-5.3125508218146225
global_step=3904, return=9.550094367218165
global_step=3904, return=1.7367002246029943
global_step=3904, return=3.457678265975028
global_step=3904, return=-5.565591312762369
global_step=3904, return=-2.2598301367041644
global_step=3968, return=-6.942684355657303
global_step=3968, return=1.843851817262161
global_step=4032, return=0.17070663716125667
global_step=4032, return=2.708265858660912
global_step=4032, return=-6.901065231306616
global_step=4032, return=-8.170219860026604
global_step=4160, return=-2.9737093450464127
global_step=4160, return=0.8928497378631091
global_step=4160, return=-3.8519618501902366
global_step=4160, return=-0.017078524431438757
global_step=4160, return=-4.081348860436706
global_step=4224, return=-1.798267572394967
global_step=4224, return=-2.2693622293990545
global_step=4224, return=2.9796657929530435
global_step=4288, return=-6.283152849819382
global_step=4288, return=1.7550050646879114
global_step=4288, return=0.738746157863182
global_step=4352, return=-2.8472443758879127
global_step=4352, return=-1.5821721242682276
global_step=4352, return=0.6335092183991684
global_step=4352, return=2.7003922215964353
global_step=4416, return=-7.566273509619415
global_step=4416, return=-0.31944594617966127
global_step=4416, return=-1.1555809656972014
global_step=4416, return=-4.776755751199546
global_step=4416, return=4.97098755942652
global_step=4416, return=-4.360572674395134
global_step=4480, return=0.4330386685634391
global_step=4480, return=-3.6989227757839096
global_step=4544, return=-0.9719196246847297
global_step=4544, return=-2.4024957645474596
global_step=4544, return=2.93467977402353
global_step=4544, return=1.5808699167884066
global_step=4608, return=-3.7875913678288695
global_step=4608, return=-4.40766317776143
global_step=4608, return=4.246252729824773
global_step=4608, return=-5.286022365770245
global_step=4672, return=3.2236673989575517
global_step=4672, return=0.7154226434701966
global_step=4672, return=-8.711838938779614
global_step=4736, return=6.861874360244677
global_step=4800, return=-8.321352167743651
global_step=4800, return=0.08246837175618205
global_step=4800, return=-1.125496260983426
global_step=4800, return=6.9861149679787165
global_step=4928, return=-7.904952303845634
global_step=4928, return=-10.81686466073005
global_step=4928, return=-4.005790760593396
global_step=4928, return=-3.0887740608141514
global_step=4992, return=-5.617985310792763
global_step=4992, return=0.8765644670021047
global_step=4992, return=-3.1906071864592436
global_step=4992, return=-5.248094598357245
global_step=5056, return=-0.771411689613873
global_step=5056, return=-2.330651961282925
global_step=5056, return=-7.479498703582977
global_step=5056, return=-1.1127235339058195
global_step=5120, return=-5.6397874430615555
global_step=5120, return=-4.882866145366355
global_step=5120, return=0.6104584394523508
global_step=5120, return=2.4305875279064195
global_step=5120, return=-3.6087365448657245
global_step=5120, return=-1.8433710524572873
global_step=5120, return=-6.2820486170477015
global_step=5184, return=2.4512593219699648
global_step=5248, return=-2.891968829699894
global_step=5248, return=-9.1312202278922
global_step=5312, return=0.04604091276360189
global_step=5312, return=1.6646481913532896
global_step=5312, return=-8.932625411283896
global_step=5312, return=0.5755285720351988
global_step=5376, return=-0.5076477070556056
global_step=5376, return=-2.179748868384263
global_step=5376, return=-6.235980953581387
global_step=5376, return=-10.635071626260498
global_step=5440, return=-1.9845635781466535
global_step=5504, return=-5.549991843682185
global_step=5504, return=-0.21598368757424047
global_step=5504, return=-3.1591539475254606
global_step=5504, return=-4.4124255102788545
global_step=5504, return=10.54319311439692
global_step=5568, return=2.9165430133611157
global_step=5568, return=-5.567779554844945
global_step=5568, return=-2.395383599942195
global_step=5568, return=-1.915287362134337
global_step=5568, return=-2.664268937451422
global_step=5568, return=0.8657717391233319
global_step=5568, return=-2.8695129234082826
global_step=5568, return=1.509040721051411
global_step=5632, return=-6.595767848397223
global_step=5632, return=-2.244003329124875
global_step=5696, return=-5.353000655659518
global_step=5696, return=-2.276928386136823
global_step=5696, return=-2.2739512476082138
global_step=5696, return=-4.790579644296944
global_step=5696, return=5.353130374054519
global_step=5696, return=-0.17448972774021954
global_step=5696, return=-4.167192736595034
global_step=5760, return=2.5615032065931844
global_step=5760, return=-3.3407847666855113
global_step=5824, return=-5.835731602124443
global_step=5824, return=12.281453124665463
global_step=5888, return=0.9731348126955771
global_step=5888, return=-3.8448314416996197
global_step=5952, return=-0.09316534265272991
global_step=5952, return=-5.118381918528313
global_step=5952, return=0.9878663097169792
global_step=6016, return=-2.2670346573426547
global_step=6080, return=14.652473222636617
global_step=6144, return=-4.334056344352795
global_step=6144, return=-3.5578547723051557
global_step=6144, return=4.13273500953561
global_step=6144, return=-8.266251871750796
global_step=6144, return=-4.866275517363918
global_step=6144, return=-0.8950055692284877
global_step=6208, return=-6.0535293224096165
global_step=6208, return=12.168690263063667
global_step=6208, return=8.1100610051818
global_step=6272, return=-1.0885217632712643
global_step=6272, return=-11.136827539193867
global_step=6272, return=-0.6140093731834365
global_step=6272, return=-1.9506874070517886
global_step=6272, return=0.07150760079109908
global_step=6272, return=-9.480630701036429
global_step=6336, return=-7.03397121883339
global_step=6336, return=-4.7122288150161165
global_step=6336, return=-1.4249937439309655
global_step=6400, return=10.792001512224157
global_step=6400, return=0.8783588400202225
global_step=6400, return=-6.144623736563485
global_step=6464, return=-1.4036609587728275
global_step=6528, return=-6.825279792241526
global_step=6528, return=-1.633538186349607
global_step=6528, return=2.3516815115979095
global_step=6528, return=-0.7385666783564346
global_step=6528, return=-3.6414937099904905
global_step=6592, return=1.1641188349881197
global_step=6656, return=2.959525372243264
global_step=6656, return=-6.907298673475568
global_step=6656, return=2.207326485190473
global_step=6720, return=-9.503149078449002
global_step=6720, return=-4.044715297392491
global_step=6720, return=-3.420259996168947
global_step=6720, return=5.352128196365254
global_step=6720, return=-1.95722154431676
global_step=6784, return=-3.950096310388835
global_step=6784, return=-4.366818014652766
global_step=6784, return=9.672485465639067
global_step=6784, return=3.2461207631495723
global_step=6784, return=-3.264805996795748
global_step=6848, return=-1.5345326366213587
global_step=6848, return=-1.4410938094674215
global_step=6912, return=1.8947113868059218
global_step=6912, return=-3.218174405647299
global_step=6912, return=-3.9937820769351533
global_step=6976, return=10.869081623192898
global_step=7040, return=1.2361792168502896
global_step=7040, return=4.3347666706088885
global_step=7040, return=-1.1332125384125598
global_step=7040, return=-7.723316617011989
global_step=7104, return=-2.9247486908886415
global_step=7104, return=5.191727500241278
global_step=7104, return=3.071771682524711
global_step=7168, return=-5.303089228436789
global_step=7232, return=1.0612932228392185
global_step=7232, return=-3.9732822963592627
global_step=7296, return=4.610925428869223
global_step=7360, return=-7.355066702265487
global_step=7360, return=14.971853728944806
global_step=7360, return=-1.6159317104052624
global_step=7360, return=-6.894462470077608
global_step=7488, return=-7.208573863702542
global_step=7488, return=-3.417987466145986
global_step=7552, return=3.6946545305258347
global_step=7552, return=0.10532924295119495
global_step=7552, return=8.13508793936961
global_step=7552, return=-9.176423157315726
global_step=7552, return=-1.1141504148323995
global_step=7552, return=-6.090563886314799
global_step=7616, return=-3.8982668520210515
global_step=7616, return=-9.992096713268879
global_step=7616, return=-4.959975667157812
global_step=7616, return=-0.3765048148875789
global_step=7616, return=-9.057090796601962
global_step=7616, return=-0.5768026013484339
global_step=7616, return=-1.9653809593750358
global_step=7680, return=-3.6898529304346956
