wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_023615-h98ec769
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__8__1781764573
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/h98ec769
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=512, return=-3.6739478316808025
global_step=576, return=-3.294602089533414
global_step=576, return=-1.3802588805943363
global_step=576, return=-3.51884769402748
global_step=640, return=-1.7225823382020429
global_step=640, return=-6.591885129068112
global_step=640, return=0.13673758816577708
global_step=640, return=-4.971857159132054
global_step=640, return=-0.42243182728081197
global_step=704, return=-6.9556635712666015
global_step=704, return=-0.4665406574363766
global_step=704, return=-6.87697243292741
global_step=704, return=-4.047386364086837
global_step=768, return=-2.615080573681978
global_step=768, return=-6.411731729545606
global_step=768, return=-2.764173451893061
global_step=832, return=-2.660156645497142
global_step=832, return=-0.4592191496401725
global_step=832, return=0.41673427742169755
global_step=832, return=2.708720256150324
global_step=832, return=-1.6236135023359257
global_step=832, return=2.0757593676446144
global_step=896, return=-3.667993052789458
global_step=896, return=-4.11812755299792
global_step=896, return=-3.556558850038159
global_step=896, return=-5.784925915130076
global_step=960, return=-7.894547717035298
global_step=960, return=0.08664600118310883
global_step=1024, return=-4.081124190325829
global_step=1024, return=3.710058118280112
global_step=1024, return=-3.6164697914078197
global_step=1088, return=5.394034081437694
global_step=1088, return=4.717856456973261
global_step=1152, return=-5.842174401838741
global_step=1152, return=4.718084133986245
global_step=1152, return=-0.051291794462068774
global_step=1216, return=-7.85834424132544
global_step=1216, return=-6.217293612312673
global_step=1216, return=-6.183832361543509
global_step=1216, return=1.507290237325062
global_step=1216, return=1.9027673772698392
global_step=1280, return=5.129159563434273
global_step=1280, return=-2.7598911455013493
global_step=1344, return=0.43491679838393327
global_step=1344, return=-5.862079601016721
global_step=1408, return=-2.5449455006591886
global_step=1408, return=-5.2572670687716805
global_step=1408, return=-5.497577706380945
global_step=1472, return=-6.826952902619044
global_step=1472, return=6.967079442550344
global_step=1472, return=-8.102448034306297
global_step=1472, return=-0.04108032686051488
global_step=1536, return=-2.1144168386839035
global_step=1536, return=1.6868863109684968
global_step=1536, return=0.9604543396503995
global_step=1536, return=-0.9646583831399466
global_step=1600, return=0.264885986963156
global_step=1600, return=-1.4491498027013003
global_step=1600, return=-2.7312615306164347
global_step=1664, return=-1.6212995778382533
global_step=1664, return=1.1339755725068335
global_step=1664, return=0.049031896636460015
global_step=1664, return=-0.8934231985885983
global_step=1664, return=-2.5664037715888153
global_step=1664, return=-4.134683245980299
global_step=1728, return=-5.144237034353464
global_step=1728, return=11.546282291351378
global_step=1728, return=2.570410597779112
global_step=1728, return=-1.0555783903289044
global_step=1728, return=-6.435012683880886
global_step=1728, return=-2.8714170937132897
global_step=1728, return=-2.441344105094365
global_step=1728, return=1.5684621391737725
global_step=1792, return=9.436774090481936
global_step=1792, return=-7.166106513511165
global_step=1792, return=-3.214784800243706
global_step=1856, return=-2.2833586960208825
global_step=1856, return=-5.935528590330248
global_step=1920, return=2.3213471846372866
global_step=1920, return=-2.0034706601970957
global_step=1920, return=0.23644457395193075
global_step=1984, return=-7.222448201173821
global_step=1984, return=-5.192042474355086
global_step=1984, return=-0.9006874800917124
global_step=1984, return=1.038904841305006
global_step=2048, return=-4.820139827974033
global_step=2048, return=-2.7744050230120703
global_step=2048, return=-3.2824125123784342
global_step=2112, return=7.940110136753474
global_step=2112, return=-8.785188510774274
global_step=2176, return=1.9896842872314835
global_step=2176, return=4.752341115363218
global_step=2176, return=-5.79850109041781
global_step=2176, return=-0.2065832154604077
global_step=2176, return=2.5983952677436704
global_step=2240, return=2.4774803157622
global_step=2304, return=0.48567894687676194
global_step=2304, return=-0.8843105310639892
global_step=2368, return=-1.4181943587147232
global_step=2368, return=-1.6065626576816652
global_step=2368, return=-10.406022973063056
global_step=2368, return=-2.69318140658943
global_step=2432, return=1.4519182969670914
global_step=2432, return=-10.543641048892326
global_step=2432, return=0.6792200936473552
global_step=2432, return=-7.740561000302314
global_step=2432, return=-5.599611235840418
global_step=2496, return=2.1555917791082937
global_step=2560, return=-2.586325700427119
global_step=2560, return=-2.11172830078519
global_step=2624, return=0.29790664729020677
global_step=2624, return=-4.618932245348362
global_step=2688, return=-2.00380347172851
global_step=2688, return=-6.5620258539268566
global_step=2752, return=-5.8914618218747306
global_step=2752, return=-8.39551348520521
global_step=2752, return=-3.5336414311389475
global_step=2752, return=-2.241171309440169
global_step=2752, return=-2.7029581158938036
global_step=2752, return=-2.9125132438620156
global_step=2752, return=11.101881376265839
global_step=2752, return=-7.307904381065875
global_step=2816, return=-3.218537360075306
global_step=2816, return=-3.5651344699588563
global_step=2816, return=-4.005080868792751
global_step=2880, return=-0.7332066648112525
global_step=2880, return=-5.5334772965043975
global_step=2880, return=-2.603480556059959
global_step=2880, return=0.730000680436279
global_step=2880, return=5.645321945149694
global_step=2880, return=-2.5855325542769108
global_step=2944, return=-8.182337751639093
global_step=3008, return=0.8178609947415711
global_step=3072, return=-5.383471411306207
global_step=3072, return=-3.6819058105296874
global_step=3072, return=4.8440326448836455
global_step=3072, return=-6.203866028108935
global_step=3072, return=-1.2616878836079415
global_step=3136, return=-3.9493825769038473
global_step=3136, return=-1.352202896722227
global_step=3136, return=-2.290036472416688
global_step=3136, return=-0.09835073410857098
global_step=3200, return=1.0005713238216785
global_step=3200, return=-6.666506414538847
global_step=3200, return=-7.794581052303437
global_step=3264, return=0.9358210169190273
global_step=3264, return=2.377166567085311
global_step=3328, return=6.514485687679358
global_step=3328, return=-4.767545936308268
global_step=3328, return=1.9711197202059205
global_step=3328, return=2.877720629522228
global_step=3392, return=-4.986928026783391
global_step=3392, return=1.407264697387719
global_step=3456, return=-0.9874649584904611
global_step=3456, return=2.257370405640771
global_step=3456, return=0.8427218179420576
global_step=3456, return=-4.1828458125185035
global_step=3456, return=-3.7700596163842164
global_step=3520, return=-2.2567110756485445
global_step=3520, return=2.1375120933828327
global_step=3520, return=-4.845541798851039
global_step=3584, return=0.054033769066433535
global_step=3584, return=-4.557557649746388
global_step=3584, return=2.49215852902243
global_step=3584, return=-7.505641353521446
global_step=3584, return=-1.312789808829266
global_step=3584, return=-9.232051082199089
global_step=3648, return=0.49992739162469346
global_step=3648, return=-2.299595575674849
global_step=3712, return=0.6771116427132944
global_step=3776, return=0.6468851706846195
global_step=3840, return=1.461080818656998
global_step=3840, return=3.3661507850138577
global_step=3904, return=1.498131132101902
global_step=3904, return=0.7561283671039468
global_step=3904, return=-4.6160918965535
global_step=3904, return=-0.3999304337574181
global_step=3968, return=-4.567408181436926
global_step=3968, return=-7.302113334291002
global_step=4032, return=-4.661723348788941
global_step=4032, return=-5.648914338057486
global_step=4032, return=2.57884647023388
global_step=4032, return=-1.7100069040110963
global_step=4032, return=-4.107713156946868
global_step=4096, return=-6.176357421965774
global_step=4096, return=-3.1472025170352835
global_step=4160, return=-6.506199441383282
global_step=4224, return=2.3284664888047266
global_step=4224, return=-4.932230400779792
global_step=4224, return=-2.373327909677352
global_step=4288, return=1.6312600994044977
global_step=4288, return=-4.43852632982478
global_step=4352, return=-0.6893591784597298
global_step=4352, return=-6.812118314325351
global_step=4416, return=-0.5306857519922601
global_step=4416, return=3.299381504440567
global_step=4416, return=0.716551409617062
global_step=4416, return=-8.252746210789244
global_step=4416, return=-2.371635239487492
global_step=4480, return=1.9530590104496852
global_step=4480, return=-3.0320475469654773
global_step=4480, return=2.2536738769607316
global_step=4480, return=2.1752816044737546
global_step=4480, return=-7.894220826534328
global_step=4480, return=-4.834822080348464
global_step=4480, return=7.510873409202449
global_step=4544, return=3.478477524433993
global_step=4544, return=-1.4264862635269182
global_step=4544, return=12.661908211876456
global_step=4544, return=21.84537343551055
global_step=4608, return=-1.4736320454878595
global_step=4608, return=-4.118509742344554
global_step=4608, return=14.869351485549123
global_step=4672, return=0.09813356957538044
global_step=4672, return=14.797206846451134
global_step=4672, return=-1.3898779671164463
global_step=4736, return=0.21100577403608567
global_step=4736, return=16.623666504284476
global_step=4736, return=-5.882060172754789
global_step=4800, return=4.918674184078843
global_step=4800, return=15.641992037420856
global_step=4800, return=-2.9497842521351014
global_step=4864, return=-2.5047968442194115
global_step=4864, return=0.2773804206749466
global_step=4864, return=-10.529713007641204
global_step=4864, return=6.249885837410042
global_step=4864, return=-0.09267447446855281
global_step=4864, return=-4.728573413930662
global_step=4928, return=-3.2023864152296286
global_step=4928, return=-3.645918746621722
global_step=4928, return=4.474114576989544
global_step=4992, return=-0.9035393262670781
global_step=4992, return=-6.744584047471379
global_step=4992, return=-3.1748300573969055
global_step=4992, return=0.7646056389386573
global_step=4992, return=-9.911677487962262
global_step=5056, return=-2.3182691469412573
global_step=5056, return=-6.913556924649632
global_step=5184, return=-1.0948672508497828
global_step=5184, return=-2.0256680133794913
global_step=5184, return=-1.4936616543764942
global_step=5248, return=-2.364211562443839
global_step=5312, return=-3.598881204760101
global_step=5376, return=-8.523695085581467
global_step=5376, return=-1.5450920462823137
global_step=5376, return=7.257462701795815
global_step=5376, return=4.703897000032883
global_step=5376, return=-3.9951364685752875
global_step=5440, return=-3.1920862692684437
global_step=5440, return=-4.617296561253795
global_step=5440, return=-3.9204220433163703
global_step=5440, return=-4.755541213618953
global_step=5504, return=-11.038539312185293
global_step=5504, return=-2.896838428201388
global_step=5504, return=-2.91609141438029
global_step=5504, return=-0.930339606492516
global_step=5568, return=-2.154181448518032
global_step=5568, return=0.030601164974934036
global_step=5568, return=-3.277871693834693
global_step=5568, return=1.2792029889854761
global_step=5632, return=0.16509144179530844
global_step=5632, return=4.4239137213309725
global_step=5632, return=0.21066120861500903
global_step=5696, return=3.6242470200405417
global_step=5696, return=7.8033363372824205
global_step=5696, return=6.775486063651987
global_step=5696, return=-2.250743071692154
global_step=5760, return=1.1221663302086686
global_step=5760, return=-13.596071203223177
global_step=5760, return=-7.954341681295982
global_step=5760, return=-0.8848186122379595
global_step=5760, return=3.601875832333744
global_step=5824, return=-6.168089843159335
global_step=5888, return=-4.327230294994035
global_step=5888, return=-4.432990045245548
global_step=5888, return=-3.09683755864201
global_step=5888, return=2.721762160305966
global_step=5888, return=-5.298409889779945
global_step=6016, return=-4.5132966647908805
global_step=6080, return=-4.726232094515982
global_step=6144, return=-1.8764348390901133
global_step=6144, return=-5.721542941295344
global_step=6144, return=-4.545159867004263
global_step=6144, return=0.9619107666094402
global_step=6144, return=2.273357370659411
global_step=6208, return=-13.133426405486869
global_step=6208, return=-0.4791115045706663
global_step=6208, return=1.578538245005035
global_step=6272, return=3.296474430731644
global_step=6272, return=-4.597943688025735
global_step=6272, return=-4.791977498800571
global_step=6336, return=2.478455787568091
global_step=6336, return=1.299037867056827
global_step=6336, return=-0.716096615412684
global_step=6400, return=-2.5379266176896955
global_step=6400, return=-1.285930224265908
global_step=6400, return=-3.8458290995111426
global_step=6400, return=-1.4412560477049996
global_step=6464, return=-5.765328615925128
global_step=6464, return=0.08844323505092322
global_step=6528, return=-2.204326213508629
global_step=6528, return=-13.761710224853779
global_step=6528, return=9.408144895513013
global_step=6528, return=0.13445223592803845
global_step=6528, return=0.9081272872378292
global_step=6592, return=-4.9828935661868465
global_step=6592, return=0.7968161088593222
global_step=6656, return=5.579423198689885
global_step=6656, return=-0.0029120256669263878
global_step=6656, return=7.002500481751106
global_step=6720, return=2.3867014916917397
global_step=6720, return=-2.700367949406221
global_step=6720, return=-3.011439936048185
global_step=6784, return=-4.794376674060114
global_step=6784, return=-3.4319881009162487
global_step=6784, return=7.12222732161448
global_step=6784, return=5.1843787080960135
global_step=6784, return=0.10096848813992287
global_step=6848, return=0.9044852186500442
global_step=6848, return=5.013575824366778
global_step=6848, return=-7.323820312698252
global_step=6848, return=-5.123943639840646
global_step=6976, return=2.928039426138306
global_step=6976, return=-6.666340643741998
global_step=7040, return=9.429668337100338
global_step=7040, return=-2.0627596252293223
global_step=7040, return=1.6796882400602426
global_step=7104, return=4.602010314545797
global_step=7104, return=-4.81207218924327
global_step=7168, return=0.4569309280837468
global_step=7168, return=-0.7073008493159669
global_step=7168, return=-5.756290274031601
global_step=7232, return=-3.297287934282535
global_step=7232, return=-4.9665421867595265
global_step=7232, return=-3.5490763455100742
global_step=7296, return=0.6349426511124538
global_step=7296, return=-3.8229845291181377
global_step=7296, return=-5.629520764184434
global_step=7360, return=-7.844850840081955
global_step=7360, return=-4.094559135564943
global_step=7360, return=1.285388151417511
global_step=7360, return=2.307804550470858
global_step=7360, return=-0.0806459676184188
global_step=7424, return=-3.691973656075982
global_step=7424, return=-1.5880603823611708
global_step=7424, return=0.1583085823175714
global_step=7424, return=-2.1944349894958535
global_step=7488, return=4.280801023878957
global_step=7488, return=-0.652623880852487
global_step=7488, return=-2.016411501916182
global_step=7488, return=7.2146510944387945
global_step=7488, return=-7.46524071775988
global_step=7552, return=1.8209850651273305
global_step=7552, return=2.8188686866317996
global_step=7616, return=-3.8010379958883815
global_step=7616, return=-9.591948097624858
global_step=7616, return=-4.794509407672695
global_step=7680, return=0.8026007367184186
global_step=7680, return=5.599238547000978
global_step=7744, return=2.6749116884732462
global_step=7744, return=-6.194329634346163
global_step=7744, return=1.7441482499736454
global_step=7744, return=4.738910049685114
global_step=7808, return=-4.874545222835337
global_step=7808, return=-1.31163126361178
global_step=7808, return=-6.973902267296161
global_step=7808, return=11.711128797383726
global_step=7808, return=-2.605468908232658
global_step=7872, return=11.370329963692754
global_step=7872, return=-10.52279582950444
global_step=7872, return=-2.042130666746002
global_step=7936, return=-6.209625301425127
global_step=7936, return=-8.290219571716506
global_step=7936, return=2.213061873059893
global_step=7936, return=-4.2833859215465635
global_step=8000, return=-5.926030523425836
global_step=8064, return=-3.2240177440652653
global_step=8064, return=-1.786332676702913
global_step=8064, return=4.4514842223767905
global_step=8064, return=0.45622756739653125
global_step=8064, return=-0.13221037342107134
global_step=8128, return=7.565774109782588
global_step=8192, return=-1.3110866878594514
global_step=8192, return=7.608348241078
global_step=8192, return=2.789713054578142
SPS: 770
global_step=8256, return=-7.278935727761248
global_step=8256, return=-0.7739675287520302
global_step=8320, return=-2.6498535929639098
global_step=8320, return=5.6161934005030965
global_step=8320, return=0.9571675981756411
global_step=8320, return=-0.20404998940598995
global_step=8384, return=0.5083701961083482
global_step=8384, return=-5.899062369097583
global_step=8384, return=1.1728434409089237
global_step=8384, return=0.9635134661044717
global_step=8384, return=4.53977412520371
global_step=8448, return=3.8629783110347873
global_step=8512, return=-4.534025146884561
global_step=8512, return=-0.1206751509526528
global_step=8512, return=-1.4873090907020337
global_step=8576, return=9.376168395927536
global_step=8640, return=1.4043390276118919
global_step=8640, return=4.437625596710522
global_step=8640, return=0.05156638825906068
global_step=8640, return=-1.692642883373861
global_step=8640, return=1.3335888708768486
global_step=8704, return=-7.908182891922744
global_step=8704, return=1.8614818932243864
global_step=8704, return=-4.3252780116133085
global_step=8704, return=-11.100393881612266
global_step=8768, return=2.4629971830294632
global_step=8832, return=3.218835947853562
global_step=8832, return=-3.3013857787850274
global_step=8832, return=-1.4689268827324664
global_step=8832, return=-2.947281399405547
global_step=8960, return=-4.717319581798822
global_step=8960, return=1.595315565397068
global_step=9024, return=-7.883813444237675
global_step=9024, return=0.4654722277230039
global_step=9088, return=2.2918294385214484
global_step=9088, return=-3.9585497693825005
global_step=9088, return=-0.9466497557389576
global_step=9088, return=6.862947576085335
global_step=9152, return=-2.04086725822331
global_step=9152, return=-1.3577334993909407
global_step=9152, return=-0.450106070528113
