wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260620_024809-bgrb956d
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__protagonist__3__1781938087
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/bgrb956d
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.

--- Starting Training ---

global_step=512, episodic_return=-5.678437348575006
global_step=576, episodic_return=-3.0962341768564996
global_step=576, episodic_return=-4.155219828120241
global_step=576, episodic_return=-1.6512672274755567
global_step=576, episodic_return=-3.4642070824128846
global_step=576, episodic_return=-1.3951823880721816
global_step=640, episodic_return=-5.853146193648897
global_step=640, episodic_return=-2.7665659671895044
global_step=640, episodic_return=-2.633197834473282
global_step=704, episodic_return=-1.2110320049740548
global_step=704, episodic_return=-1.1005836263353455
global_step=704, episodic_return=-2.3603141270325567
global_step=768, episodic_return=-9.447720846433183
global_step=768, episodic_return=-1.6178213030164197
global_step=768, episodic_return=-4.360246336838024
global_step=768, episodic_return=-5.485785671205712
global_step=832, episodic_return=-5.544999415697191
global_step=832, episodic_return=-7.035132904194955
global_step=832, episodic_return=1.1887981575595608
global_step=832, episodic_return=0.008515790706946746
global_step=832, episodic_return=-1.7474413253480174
global_step=896, episodic_return=-0.9026118001164056
global_step=896, episodic_return=-1.1288843144146696
global_step=896, episodic_return=0.553465694107365
global_step=896, episodic_return=-1.4266723707878768
global_step=960, episodic_return=0.5632770949302253
global_step=1024, episodic_return=-0.45406072168619604
global_step=1088, episodic_return=4.014861606385865
global_step=1088, episodic_return=-3.2862506480113782
global_step=1152, episodic_return=-4.115568778299925
global_step=1152, episodic_return=-0.07411322729180991
global_step=1216, episodic_return=-2.3086632703703174
global_step=1216, episodic_return=-8.0813176091183
global_step=1216, episodic_return=-2.5256507347865176
global_step=1216, episodic_return=-7.38364993552268
global_step=1216, episodic_return=-2.4210207943624864
global_step=1216, episodic_return=-3.979030807390459
global_step=1216, episodic_return=2.1825323071458813
global_step=1280, episodic_return=7.05140250064853
global_step=1344, episodic_return=-6.4276929376930925
global_step=1344, episodic_return=0.7078338489645638
global_step=1344, episodic_return=-7.08376676157253
global_step=1408, episodic_return=-5.328940521189405
global_step=1408, episodic_return=-0.7440455309176794
global_step=1408, episodic_return=1.0960102586720295
global_step=1472, episodic_return=-4.576594855590683
global_step=1472, episodic_return=-2.7255006766170853
global_step=1472, episodic_return=-6.264216591898579
global_step=1472, episodic_return=9.150896928192783
global_step=1472, episodic_return=2.7572594829930894
global_step=1472, episodic_return=-0.40496480065160023
global_step=1472, episodic_return=7.3422100414933915
global_step=1536, episodic_return=-0.18656790945162793
global_step=1536, episodic_return=1.9521354588279756
global_step=1536, episodic_return=-0.873763599886057
global_step=1600, episodic_return=2.075031153597368
global_step=1600, episodic_return=-2.136877187713627
global_step=1600, episodic_return=-4.028530380534609
global_step=1664, episodic_return=-4.361656231492053
global_step=1664, episodic_return=-3.6922158275322468
global_step=1664, episodic_return=3.204050422349763
global_step=1664, episodic_return=3.4200051419596336
global_step=1664, episodic_return=-6.029479804981053
global_step=1728, episodic_return=-4.9952239687924855
global_step=1728, episodic_return=-1.694229295960634
global_step=1728, episodic_return=-6.011892550548027
global_step=1728, episodic_return=-1.4674098879072135
global_step=1792, episodic_return=-2.019936165442404
global_step=1792, episodic_return=-3.503772476441213
global_step=1792, episodic_return=-3.7162603273860615
global_step=1792, episodic_return=-2.8138061429521755
global_step=1856, episodic_return=-2.475119618394486
global_step=1856, episodic_return=-5.0880869164631735
global_step=1856, episodic_return=-1.575688083389632
global_step=1984, episodic_return=-8.82766060988082
global_step=1984, episodic_return=18.347905201482835
global_step=1984, episodic_return=-1.5793845833119244
global_step=2048, episodic_return=5.542246547266613
global_step=2048, episodic_return=-4.875088487356284
global_step=2048, episodic_return=1.0654530296019746
global_step=2112, episodic_return=0.16424540619994166
global_step=2112, episodic_return=-2.098516414670754
global_step=2112, episodic_return=-0.6517854745002245
