wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260620_043842-3nf4rp0m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__protagonist__9__1781944719
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/3nf4rp0m
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.

--- Starting Training ---

global_step=512, episodic_return=-3.0560501073118895
global_step=576, episodic_return=-1.2307292829650753
global_step=576, episodic_return=-3.306250925929864
global_step=576, episodic_return=-4.160100579629267
global_step=576, episodic_return=-2.1740116622829038
global_step=640, episodic_return=-2.4656337053590835
global_step=704, episodic_return=-0.8743634357474872
global_step=704, episodic_return=-2.044566208975567
global_step=704, episodic_return=-1.4947573042647153
global_step=768, episodic_return=0.7475348082392568
global_step=768, episodic_return=-4.008259656205791
global_step=832, episodic_return=-8.513609608724703
global_step=832, episodic_return=-0.852379207736881
global_step=832, episodic_return=-0.17388773809968638
global_step=896, episodic_return=-2.7773339840690086
global_step=896, episodic_return=-0.036793559421864463
global_step=896, episodic_return=1.370806596113478
global_step=896, episodic_return=-2.089585636848529
global_step=960, episodic_return=-4.413302072023788
global_step=960, episodic_return=-4.594142639546081
global_step=960, episodic_return=3.1013864500954584
global_step=1088, episodic_return=2.392933217087182
global_step=1088, episodic_return=6.9157081316503755
global_step=1088, episodic_return=0.4160261514094452
global_step=1088, episodic_return=-8.133005600602036
global_step=1088, episodic_return=0.4233357868345813
global_step=1088, episodic_return=-4.785954856686486
global_step=1152, episodic_return=1.212347313417701
global_step=1152, episodic_return=1.7422564419965276
global_step=1152, episodic_return=2.459875622331274
global_step=1216, episodic_return=-4.923085002844228
global_step=1216, episodic_return=4.651080802740984
global_step=1216, episodic_return=3.450132938779242
global_step=1216, episodic_return=3.904174632113362
global_step=1216, episodic_return=-9.98620107929487
global_step=1216, episodic_return=-6.93181196810128
global_step=1280, episodic_return=-1.5058309829140675
global_step=1280, episodic_return=-11.456504641930305
global_step=1280, episodic_return=5.143737005154617
global_step=1280, episodic_return=-2.2901508379319857
global_step=1280, episodic_return=-7.0564813536064595
global_step=1344, episodic_return=6.788073590645749
global_step=1344, episodic_return=-5.101532618576982
global_step=1408, episodic_return=5.2258323963253765
global_step=1408, episodic_return=-2.097233832302096
global_step=1408, episodic_return=0.8894851574837406
global_step=1472, episodic_return=-1.7000055656562254
