global_step=144, return=-3.4149298686007317
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=176, return=-3.286717231225741
global_step=192, return=-3.227854141453399
global_step=208, return=-11.594112301244266
global_step=240, return=-6.019026943656392
global_step=256, return=-0.9342119674003393
global_step=256, return=0.7530015119333323
global_step=272, return=-1.9071238656086562
global_step=288, return=0.8390099424330417
global_step=288, return=-9.575299621780488
global_step=336, return=-4.925279112419694
global_step=336, return=-5.346334224509519
global_step=352, return=-8.670215057704901
global_step=384, return=6.884865322989539
global_step=384, return=3.532806067419891
global_step=400, return=-6.973788646033437
global_step=448, return=-6.996185128859242
global_step=448, return=0.2471786602088124
global_step=448, return=3.3861118243456776
global_step=512, return=-8.078965208278035
global_step=512, return=-7.834541428241647
global_step=512, return=-5.299935574840478
global_step=512, return=-2.428631183310107
global_step=512, return=-8.556631711416653
global_step=528, return=-10.656452567580125
global_step=560, return=-1.0711311349032766
global_step=576, return=0.9851290028834653
global_step=592, return=-5.2417122825705365
global_step=688, return=3.7878809795235324
global_step=720, return=3.76890144345946
global_step=720, return=0.32949283446382616
global_step=720, return=-1.401674097473673
global_step=800, return=-7.141548104556425
global_step=800, return=1.8828427655632398
global_step=816, return=2.713875587003693
global_step=816, return=-5.56081608952684
global_step=832, return=5.170349843024888
global_step=832, return=2.256675965122952
global_step=912, return=-1.6506264229376557
global_step=912, return=0.978797301000919
global_step=928, return=-5.437223489967752
global_step=960, return=4.066475886421184
global_step=1024, return=-2.5777188062529293
global_step=1040, return=-6.678039916015597
global_step=1072, return=-2.432246536086332
global_step=1104, return=-4.02062330178988
global_step=1120, return=-8.689223191875168
global_step=1120, return=-6.3057431453706725
global_step=1120, return=-8.96546798634168
global_step=1136, return=-7.178074698604172
global_step=1136, return=-9.20960704581879
global_step=1168, return=-1.5548919854566432
global_step=1200, return=10.679851120245964
global_step=1216, return=-2.9747123586811233
global_step=1232, return=-2.466687456321303
global_step=1248, return=10.629818620654937
global_step=1280, return=16.980925233753783
global_step=1280, return=7.043374213905025
global_step=1328, return=-2.0125963523966566
global_step=1344, return=-10.784666532562191
global_step=1344, return=-8.78391017875747
global_step=1440, return=3.0783974816876647
global_step=1440, return=-2.4455509800212143
global_step=1440, return=0.7061138584966948
global_step=1472, return=6.9010586572784955
global_step=1504, return=-7.512171640486444
global_step=1504, return=-3.3287772671020894
global_step=1536, return=-3.404564820160044
global_step=1552, return=-2.6726829547724993
global_step=1568, return=5.961107099682909
global_step=1600, return=1.572948736399819
global_step=1632, return=2.502183948127801
global_step=1648, return=3.0179641632368384
global_step=1664, return=-6.50521327984961
global_step=1696, return=3.2291164628867985
global_step=1712, return=-6.885317944569229
global_step=1712, return=2.538717378524205
global_step=1712, return=-5.9250329390450585
global_step=1712, return=1.1381286516548128
global_step=1744, return=0.4580467047324147
global_step=1760, return=-1.6192776934863073
global_step=1776, return=-3.5956268353304104
global_step=1808, return=-0.49907815165235325
global_step=1808, return=-3.944393304523614
global_step=1872, return=-5.937582126055702
global_step=1872, return=1.4238758943955514
global_step=1888, return=-4.507454761252076
global_step=1904, return=-0.8954475410608262
global_step=1936, return=-0.8361254579243278
global_step=1952, return=-1.691975150532696
global_step=1984, return=0.7643113068097133
global_step=1984, return=2.045950424471168
global_step=1984, return=-3.4140808675042535
global_step=2016, return=-6.8983103144023215
global_step=2032, return=10.990933867417144
global_step=2048, return=-3.3578887064248035
SPS: 596
global_step=2064, return=-3.2500794414566556
global_step=2064, return=-2.394369244898858
global_step=2064, return=-0.9834933515824744
global_step=2112, return=-2.307206269834004
