global_step=112, return=-5.452531948392391
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=160, return=-4.740261878670177
global_step=176, return=-0.9489679290492536
global_step=192, return=-2.1162532915212156
global_step=192, return=-9.125529564521116
global_step=208, return=-0.7556433345719821
global_step=240, return=0.46539549836583316
global_step=240, return=2.8403913832350836
global_step=256, return=-6.477010727881532
global_step=272, return=-1.2976505090565704
global_step=304, return=-2.823826731796725
global_step=336, return=-6.247501949611038
global_step=336, return=-3.4316218462321455
global_step=352, return=1.0781255386910815
global_step=368, return=-4.963225434146688
global_step=368, return=0.004817073363697744
global_step=384, return=1.0727725475413061
global_step=384, return=2.925628846885906
global_step=384, return=-1.1690836479572138
global_step=400, return=-6.417854846174137
global_step=400, return=-2.021248930654022
global_step=416, return=1.7218142348957635
global_step=448, return=-5.351323237823765
global_step=464, return=-6.125144027951786
global_step=512, return=-0.09093333529097469
global_step=608, return=-11.850958453774012
global_step=624, return=-4.927743740148734
global_step=656, return=-4.619411253783747
global_step=672, return=-7.923482374862493
global_step=688, return=3.839658397610643
global_step=688, return=-1.3291889730751265
global_step=704, return=-0.31547629298979274
global_step=752, return=8.921524019155143
global_step=752, return=-2.024129840512053
global_step=768, return=-3.0599250928755053
global_step=768, return=-8.771390904968102
global_step=800, return=-6.075791187734863
global_step=816, return=0.9752853241042454
global_step=816, return=8.293914295317496
global_step=816, return=12.039109925291799
global_step=816, return=-5.354772913567249
global_step=880, return=-1.2799535837322171
global_step=896, return=1.4888613669554536
global_step=896, return=-5.2813230503013
global_step=912, return=-11.20044627087652
global_step=1008, return=-0.012674208092271266
global_step=1056, return=4.2075106545446594
global_step=1056, return=1.19631836251192
global_step=1056, return=-9.426830514259505
global_step=1072, return=-7.7990266622297515
global_step=1088, return=-2.3687862690086616
global_step=1120, return=-1.333468401890121
global_step=1136, return=3.39444771218798
global_step=1152, return=4.457804990106423
global_step=1216, return=-1.678397466824265
global_step=1232, return=0.8570720096604995
global_step=1264, return=4.026611657629871
global_step=1264, return=0.8782531227251702
global_step=1264, return=-3.5465700194945935
global_step=1280, return=-4.086331271734248
global_step=1280, return=6.348670900326722
global_step=1280, return=4.6457354698646816
global_step=1280, return=-6.725944318818493
global_step=1296, return=-4.946327297235946
global_step=1344, return=0.6931756005996097
global_step=1360, return=-1.4612802194492167
global_step=1376, return=-10.06799137341227
global_step=1392, return=11.454962164523153
global_step=1408, return=3.956895496429602
global_step=1440, return=-1.1464759753289062
global_step=1456, return=-4.688195796938179
global_step=1488, return=1.8838736034488526
global_step=1520, return=-0.2952910251089701
global_step=1520, return=0.9999579605067737
global_step=1536, return=-3.2077655211156078
global_step=1552, return=-9.23016396647882
global_step=1552, return=-1.7863709155003842
global_step=1552, return=1.633244122863014
global_step=1616, return=-3.227490286507277
global_step=1632, return=-0.6885798461280768
global_step=1648, return=2.122471435742191
global_step=1664, return=-2.125520100405552
global_step=1696, return=-10.707202236313103
global_step=1712, return=-7.503435117990557
global_step=1728, return=-3.358593150585282
global_step=1760, return=-4.48600176787588
global_step=1760, return=-9.398461537532315
global_step=1792, return=1.6458116404395948
global_step=1792, return=1.5138797594586844
global_step=1808, return=5.3025077815309505
global_step=1840, return=1.927166428261321
global_step=1856, return=-0.7827376184940342
global_step=1872, return=-1.1460019620394473
global_step=1904, return=-0.3824339180650802
global_step=1936, return=6.124032830825648
global_step=1952, return=3.785597843722802
global_step=1968, return=-10.051452674102396
global_step=1968, return=-4.582839149437686
global_step=1984, return=1.988005836593242
global_step=1984, return=-5.1191764262418795
global_step=2000, return=4.443961142075073
global_step=2000, return=-0.663617840106316
global_step=2048, return=1.6980173200236433
SPS: 662
global_step=2096, return=1.0377572346045563
global_step=2128, return=-3.7503392310383425
global_step=2128, return=3.3598834825906096
global_step=2128, return=-3.0875469697234537
global_step=2144, return=-9.87929464907045
global_step=2160, return=3.225440804152682
global_step=2176, return=0.27426412056064176
global_step=2192, return=-0.3308693783137213
global_step=2208, return=-3.997419439562414
global_step=2256, return=-7.604482760005508
global_step=2272, return=-1.0072605644362065
global_step=2288, return=1.7197671271503165
global_step=2304, return=-1.4165541134158166
global_step=2304, return=9.416829445458387
global_step=2304, return=-2.076690326552297
global_step=2320, return=-2.9940863900872756
global_step=2336, return=-6.786003179452645
global_step=2336, return=-3.5651227414138917
global_step=2368, return=11.178884832301227
global_step=2400, return=4.2267643392402805
global_step=2400, return=-0.21950174974794923
global_step=2448, return=-10.148101335319453
global_step=2448, return=18.285179549396762
global_step=2464, return=-1.0063689509762677
global_step=2496, return=-4.533164959144168
global_step=2496, return=3.8783416045353043
global_step=2512, return=-1.4151363968693298
global_step=2544, return=-0.5839312863771431
global_step=2544, return=-3.2704986246139955
global_step=2544, return=-1.462547245502445
global_step=2592, return=1.5270737231160583
global_step=2624, return=2.184183899242543
global_step=2624, return=-10.576256100987802
global_step=2656, return=-0.6181754711598484
global_step=2672, return=-0.01877342881637878
global_step=2688, return=3.257470234293661
global_step=2720, return=-4.140711014673926
global_step=2736, return=-3.6234322367119858
global_step=2752, return=-0.8655192231755787
global_step=2752, return=3.0119832926989454
global_step=2768, return=1.5861204216699925
global_step=2768, return=5.275436387080356
global_step=2800, return=-3.9162398547440986
global_step=2832, return=-3.0293428343876467
global_step=2896, return=6.515009749097927
global_step=2912, return=0.9744046815790297
global_step=2912, return=5.965766845089907
global_step=2912, return=8.806649023692344
global_step=2928, return=0.24265411397017433
global_step=2944, return=-4.524005567077771
global_step=2944, return=-1.6059863105756345
global_step=2976, return=6.397615374488874
global_step=2976, return=-2.5112264486451243
global_step=3024, return=-1.5711866378836428
global_step=3040, return=0.7280464824208579
global_step=3056, return=-3.0880202847499048
global_step=3056, return=-0.4926073884577902
global_step=3104, return=-5.008153151590027
global_step=3152, return=-5.812210277282792
global_step=3152, return=-8.114732568429345
global_step=3168, return=10.828031433862318
global_step=3168, return=-2.828614788659597
global_step=3168, return=0.7866982948855282
global_step=3184, return=0.6324889259203939
global_step=3216, return=-4.576069164019307
global_step=3216, return=-2.2203842648284056
global_step=3248, return=5.929141542242353
global_step=3248, return=-1.784596160095889
global_step=3312, return=1.8410561395443499
global_step=3312, return=-0.6913255351273543
global_step=3328, return=-5.400152348092952
global_step=3376, return=4.044962914015768
global_step=3408, return=9.769048435018137
global_step=3440, return=-2.7717385723545105
global_step=3488, return=6.024386332191188
global_step=3504, return=1.6786484264791297
global_step=3520, return=-2.233929353880841
global_step=3520, return=5.74604291009654
global_step=3536, return=2.7104279492062684
global_step=3536, return=-5.4553901152322055
global_step=3568, return=-1.388225816872046
global_step=3568, return=13.458070345526435
global_step=3584, return=4.394026500122515
global_step=3600, return=-3.374572836533482
global_step=3632, return=5.524602431249903
global_step=3648, return=4.728554587209043
global_step=3680, return=-2.78140469906195
global_step=3696, return=-3.1466803566757386
global_step=3712, return=2.507079308240525
global_step=3712, return=-3.044110185110756
global_step=3728, return=3.930792535350763
global_step=3760, return=6.1207635291547735
global_step=3776, return=1.14940071688651
global_step=3808, return=2.014346219682974
global_step=3824, return=-1.8525623611666082
global_step=3840, return=-1.6874019629608095
global_step=3888, return=-5.2455604401743985
global_step=3936, return=1.3617312015207785
global_step=3952, return=6.3385639406857
global_step=3984, return=-0.6609354902746571
global_step=3984, return=4.63053708804999
global_step=4000, return=12.980826170161503
global_step=4016, return=0.3834563034298202
global_step=4032, return=-1.4026480539524315
global_step=4032, return=-4.587046760249075
global_step=4064, return=3.717475003827703
global_step=4096, return=4.882759511962526
SPS: 788
global_step=4144, return=-6.449586877574416
global_step=4160, return=4.482697902518304
global_step=4176, return=-6.993635970008649
global_step=4176, return=2.758380699600346
global_step=4192, return=0.07863263277250171
global_step=4208, return=-7.165711196080052
global_step=4208, return=1.3802325051523803
global_step=4208, return=-2.8233878406742883
global_step=4304, return=-1.2966823599666086
global_step=4336, return=11.675265404099274
global_step=4352, return=0.20354903379651756
global_step=4400, return=9.946783079649418
global_step=4400, return=4.5170736493356864
