
--- Starting Training ---

global_step=128, episodic_return=-2.6155227656365554
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=176, episodic_return=-6.2840829764527335
global_step=192, episodic_return=-3.622350251753024
global_step=208, episodic_return=1.1647346077248648
global_step=224, episodic_return=-0.19120012031099098
global_step=240, episodic_return=1.6148200878954821
global_step=256, episodic_return=-2.2688204373048637
global_step=272, episodic_return=-6.0601790418767045
global_step=272, episodic_return=3.2094026750616482
global_step=288, episodic_return=-2.396777610365933
global_step=320, episodic_return=-0.05906719315915887
global_step=320, episodic_return=6.008177355425865
global_step=352, episodic_return=-2.3543042222967534
global_step=368, episodic_return=8.004432123544149
global_step=368, episodic_return=-5.641652384495556
global_step=400, episodic_return=5.606930676914105
global_step=400, episodic_return=5.444723606109337
global_step=496, episodic_return=-3.8613287200437436
global_step=496, episodic_return=-4.5972946434709865
global_step=496, episodic_return=6.368878781646666
global_step=528, episodic_return=-2.776514739117576
global_step=528, episodic_return=-1.188822395427343
global_step=544, episodic_return=-9.235473850657868
global_step=544, episodic_return=-4.225859968309859
global_step=560, episodic_return=0.5039206287042479
global_step=576, episodic_return=-5.94383026270261
global_step=608, episodic_return=0.7978497322678553
global_step=624, episodic_return=-4.3717781546679655
global_step=720, episodic_return=1.4863410608388952
global_step=720, episodic_return=-0.004532126882982324
global_step=720, episodic_return=-3.919899709394371
global_step=720, episodic_return=-0.2827453135300917
global_step=720, episodic_return=-6.210850128985618
global_step=752, episodic_return=-9.246029456693359
global_step=768, episodic_return=-5.027499910674308
global_step=768, episodic_return=2.3170041903015997
global_step=800, episodic_return=18.25482279725223
global_step=816, episodic_return=-2.1239351924593137
global_step=832, episodic_return=-4.189753680207263
global_step=848, episodic_return=-9.529269846338071
global_step=896, episodic_return=11.506994930087595
global_step=912, episodic_return=-4.829719026591382
global_step=944, episodic_return=-3.5404083089346847
global_step=960, episodic_return=-2.531885107905446
global_step=960, episodic_return=-1.5329204367210005
global_step=960, episodic_return=-1.9661704029760334
global_step=976, episodic_return=3.5343968386180897
global_step=976, episodic_return=2.704309153379417
global_step=1024, episodic_return=3.8511590373918665
global_step=1040, episodic_return=-4.918633030724443
global_step=1088, episodic_return=-3.6016787397574115
global_step=1120, episodic_return=4.384140491478885
global_step=1184, episodic_return=0.70499896824297
global_step=1184, episodic_return=1.9736329385853022
global_step=1200, episodic_return=5.260266504358208
global_step=1216, episodic_return=-4.495239865297528
global_step=1232, episodic_return=2.528477724726357
global_step=1232, episodic_return=-4.341721670752674
global_step=1232, episodic_return=-2.9763405226549207
global_step=1248, episodic_return=10.868892955848372
global_step=1248, episodic_return=-3.669564341362987
global_step=1344, episodic_return=-4.154176790536923
global_step=1360, episodic_return=-4.608417306385114
global_step=1392, episodic_return=-5.933773717235313
global_step=1392, episodic_return=2.7698444125895803
global_step=1424, episodic_return=-4.850164457240096
global_step=1424, episodic_return=4.798165296377623
global_step=1440, episodic_return=-2.440864546227864
global_step=1536, episodic_return=-6.6911581065244885
global_step=1552, episodic_return=-0.4802235947065556
global_step=1584, episodic_return=-10.987600955207702
global_step=1584, episodic_return=-7.881494159723433
global_step=1600, episodic_return=0.6251566130932436
global_step=1616, episodic_return=-4.084830637203486
global_step=1632, episodic_return=-4.905020740558501
global_step=1648, episodic_return=0.13101366993688812
global_step=1648, episodic_return=7.266140172738066
global_step=1664, episodic_return=-1.95489391876351
global_step=1696, episodic_return=10.468579064157055
global_step=1696, episodic_return=11.896724250208429
global_step=1696, episodic_return=-3.4843315630128053
global_step=1712, episodic_return=-4.5499637502175805
global_step=1728, episodic_return=-5.570019185771895
global_step=1728, episodic_return=1.2013157594429007
global_step=1808, episodic_return=-4.455183995486576
global_step=1808, episodic_return=-4.559900559928504
global_step=1824, episodic_return=-2.500401264739728
global_step=1872, episodic_return=9.610331766163712
global_step=1904, episodic_return=5.181028774531268
global_step=1904, episodic_return=-2.7085380892792297
global_step=1936, episodic_return=-0.24102684148131925
global_step=1968, episodic_return=-3.5599954013868884
global_step=1968, episodic_return=-2.6401210566849986
global_step=1984, episodic_return=2.7157823107891117
global_step=1984, episodic_return=-3.3263456571496173
global_step=1984, episodic_return=-5.660059346173664
global_step=2000, episodic_return=-7.178931443200891
global_step=2016, episodic_return=0.4467217860977992
global_step=2048, episodic_return=1.3320529446064713
SPS: 652
global_step=2064, episodic_return=3.6473800024569707
global_step=2080, episodic_return=10.01158118250068
global_step=2160, episodic_return=13.661112024275143
global_step=2160, episodic_return=-3.9687557316479127
global_step=2192, episodic_return=-3.5390733729577595
global_step=2208, episodic_return=1.0755288077969647
global_step=2272, episodic_return=-3.0783237447209624
global_step=2272, episodic_return=-7.206667426318115
global_step=2288, episodic_return=1.7175372211673274
global_step=2288, episodic_return=-0.4192534559634309
global_step=2288, episodic_return=-10.170792518298974
global_step=2320, episodic_return=-2.7372882509510705
