global_step=128, return=-7.502445176773103
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=160, return=-0.2660248267166787
global_step=176, return=-6.180840057797395
global_step=192, return=-0.9671119481516153
global_step=224, return=0.21076892563494187
global_step=224, return=-1.2740981408699203
global_step=240, return=-2.544230838370607
global_step=256, return=-1.831744012232829
global_step=256, return=-6.3791461708122075
global_step=256, return=-6.958947967946557
global_step=272, return=0.7023058405183957
global_step=288, return=-6.104579061865364
global_step=304, return=-3.764810372862717
global_step=368, return=1.0171772921689035
global_step=384, return=13.440099523922628
global_step=384, return=-7.546782917576279
global_step=416, return=-2.883651993018537
global_step=448, return=-3.4755362978626123
global_step=464, return=-6.316178298915691
global_step=464, return=0.7558147794365613
global_step=512, return=18.674128035636862
global_step=528, return=-4.849998142368193
global_step=544, return=-1.205194112381071
global_step=544, return=5.004422249418717
global_step=560, return=-0.583695007109559
global_step=608, return=7.65459670116703
global_step=608, return=-4.675642376483866
global_step=624, return=1.8085238698496942
global_step=624, return=-1.2751000646694386
global_step=640, return=0.4586949241448053
global_step=672, return=0.9921151118039828
global_step=752, return=-9.270859972070527
global_step=752, return=0.4156410828950985
global_step=784, return=-4.17120033941178
global_step=784, return=10.29267050224227
global_step=800, return=-6.083341659119128
global_step=848, return=-7.30333584478784
global_step=848, return=-7.516246691387783
global_step=864, return=4.518972158936041
global_step=864, return=-7.054792492556899
global_step=880, return=-2.2507234145764943
global_step=896, return=-1.1853985910287734
global_step=928, return=12.668096046675926
global_step=944, return=-2.0678620101131577
global_step=960, return=-5.390853975566534
global_step=1040, return=1.8099022084703862
global_step=1040, return=5.444259436336641
global_step=1056, return=-8.027466211621848
global_step=1120, return=-4.986757433148338
global_step=1120, return=-0.3431750889830971
global_step=1152, return=-0.06028342075748769
global_step=1168, return=-3.1686330720699343
global_step=1184, return=-3.1141807551865783
global_step=1200, return=-0.08830118326325032
global_step=1248, return=-7.737629116432673
global_step=1264, return=1.6153436025790713
global_step=1264, return=-3.3349610822204943
global_step=1280, return=4.425897827624002
global_step=1312, return=1.1899329739871334
global_step=1312, return=12.40644694030149
global_step=1344, return=-8.054756649569914
global_step=1344, return=6.6170812843848426
global_step=1344, return=-5.927491040759742
global_step=1360, return=-2.9317375929280365
global_step=1376, return=-0.5106935730073043
global_step=1408, return=-3.9071592174947636
global_step=1440, return=-6.471052607331656
global_step=1472, return=4.158465180465052
global_step=1488, return=0.2448639349668562
global_step=1504, return=8.194357350876295
global_step=1536, return=-2.901632717714075
global_step=1552, return=-0.4318786841226634
global_step=1552, return=2.842650258162431
global_step=1552, return=-6.837551254999603
global_step=1552, return=-7.626155860226203
global_step=1584, return=2.8092360505427987
global_step=1584, return=-1.1334266179508021
global_step=1584, return=-11.312203309152551
global_step=1616, return=1.8361254707776227
global_step=1632, return=-3.250504246799369
global_step=1680, return=-8.116341391223092
global_step=1696, return=0.9101697141748653
global_step=1744, return=-0.4616240792891968
global_step=1744, return=-2.917021413418195
global_step=1760, return=-4.7753044148557935
global_step=1760, return=2.5656239485726657
global_step=1776, return=-3.9099850640791343
global_step=1824, return=-0.8491580166182466
global_step=1824, return=-8.491968428920824
global_step=1824, return=-0.5502468585005342
global_step=1888, return=-3.1358373644330877
global_step=1904, return=2.45139885702146
global_step=1920, return=-5.9383584238407146
global_step=1920, return=-5.92114297940723
global_step=1920, return=-2.550621786148616
global_step=1920, return=-3.379788923490101
global_step=1952, return=-2.181696266476541
global_step=1952, return=1.6275407125095507
global_step=2000, return=-8.388850514490167
global_step=2032, return=-6.121804151718973
SPS: 598
global_step=2064, return=6.057927051703218
global_step=2096, return=2.8361874834531235
global_step=2112, return=1.9994053551247375
global_step=2128, return=-3.117168311596121
global_step=2160, return=5.038178674233014
global_step=2176, return=-1.4697314442524894
global_step=2176, return=1.8788271232997165
global_step=2176, return=-4.399105512571591
global_step=2176, return=8.833986131108741
global_step=2192, return=-1.1195032186220442
global_step=2240, return=-7.933082241949919
global_step=2256, return=8.444616381684755
global_step=2304, return=2.51224704081171
global_step=2304, return=1.2824536119863637
global_step=2336, return=-2.661751339653219
global_step=2400, return=11.568303910607709
global_step=2400, return=-5.8527904624709315
global_step=2416, return=-5.751949767399271
global_step=2432, return=-2.9617449574124066
global_step=2448, return=1.2205581621344264
global_step=2464, return=-4.10172894905774
global_step=2464, return=3.7799719340348967
global_step=2464, return=-3.21458854436024
global_step=2496, return=-2.5355020279246854
global_step=2512, return=-1.095663429362617
global_step=2544, return=7.104934734877243
global_step=2560, return=0.5673617359626097
global_step=2592, return=-5.174684587645939
global_step=2592, return=-3.659195112664193
global_step=2640, return=5.623879918361475
global_step=2656, return=-6.924688701217008
global_step=2672, return=-6.7365204982791225
global_step=2672, return=-2.8780012418778576
global_step=2688, return=-5.044644397320721
global_step=2688, return=-1.19274547270639
global_step=2704, return=0.6655095062292646
global_step=2704, return=-2.1974299853136916
global_step=2720, return=0.04453849690666917
global_step=2720, return=-0.009969226504726425
global_step=2736, return=4.893443815899914
global_step=2784, return=-0.7197121383089027
global_step=2784, return=-6.961399930187188
global_step=2800, return=-8.043719275818543
global_step=2880, return=5.556073137248722
