2026-06-17 04:36:27,122 INFO    MainThread:1103994 [wandb_setup.py:_flush():81] Current SDK version is 0.27.2
2026-06-17 04:36:27,123 INFO    MainThread:1103994 [wandb_setup.py:_flush():81] Configure stats pid to 1103994
2026-06-17 04:36:27,123 INFO    MainThread:1103994 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-17 04:36:27,123 INFO    MainThread:1103994 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /home/okeren/RobustRL/wandb/run-20260617_043627-9a32oqz4/logs/debug.log
2026-06-17 04:36:27,123 INFO    MainThread:1103994 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /home/okeren/RobustRL/wandb/run-20260617_043627-9a32oqz4/logs/debug-internal.log
2026-06-17 04:36:27,127 INFO    MainThread:1103994 [wandb_init.py:init():766] calling init triggers
2026-06-17 04:36:27,127 INFO    MainThread:1103994 [wandb_init.py:init():771] wandb.init called with sweep_config: {}
config: {'exp_name': 'helper', 'seed': 4, 'torch_deterministic': True, 'cuda': True, 'track': True, 'wandb_project_name': 'RobustRL', 'wandb_entity': 'models', 'capture_video': False, 'env_id': 'Walker2d-v5', 'total_timesteps': 5000000, 'learning_rate': 0.0003, 'num_envs': 16, 'num_steps': 128, 'anneal_lr': True, 'gamma': 0.99, 'gae_lambda': 0.95, 'num_minibatches': 4, 'update_epochs': 10, 'norm_adv': True, 'clip_coef': 0.2, 'clip_vloss': True, 'ent_coef': 0.001, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'target_kl': 0.015, 'batch_size': 2048, 'minibatch_size': 512, 'num_iterations': 2441, 'lambda_threshold': 2700, 'lr_alpha': 1, 'actor_adv_ratio': 10, 'barrier_t': 0.2, 'start_alpha': 0.0, 'max_alpha': 0.4, 'alpha_step_limit': 0.05, 'alpha_method': 'controller', 'v_ema_beta': 0.95, 'beta': 0.05, 'eval_episodes': 20, 'gpus': '', '_wandb': {'code_path': 'code/trainer.py'}}
2026-06-17 04:36:27,127 INFO    MainThread:1103994 [wandb_init.py:init():814] starting backend
2026-06-17 04:36:27,127 INFO    MainThread:1103994 [wandb_init.py:init():829] sending inform_init request
2026-06-17 04:36:27,866 INFO    MainThread:1103994 [wandb_init.py:init():834] backend started and connected
2026-06-17 04:36:27,900 INFO    MainThread:1103994 [wandb_init.py:init():904] updated telemetry
2026-06-17 04:36:27,909 INFO    MainThread:1103994 [wandb_init.py:init():927] communicating run to backend with 90.0 second timeout
2026-06-17 04:36:28,431 INFO    MainThread:1103994 [wandb_init.py:init():972] starting run threads in backend
2026-06-17 04:36:28,618 INFO    MainThread:1103994 [wandb_run.py:_console_start():2523] atexit reg
2026-06-17 04:36:28,618 INFO    MainThread:1103994 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-17 04:36:28,618 INFO    MainThread:1103994 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-17 04:36:28,618 INFO    MainThread:1103994 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-17 04:36:28,622 INFO    MainThread:1103994 [wandb_init.py:init():1010] run started, returning control to user process
2026-06-17 04:36:28,622 INFO    MainThread:1103994 [wandb_run.py:_tensorboard_callback():1574] tensorboard callback: runs/Walker2d-v5__protagonist__4__1781685384, True
