global_step=176, return=-3.6609352393974253
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=192, return=0.25310910840605194
global_step=208, return=-5.6286639294746035
global_step=224, return=0.012062606083328375
global_step=240, return=-0.029509024582029975
global_step=256, return=5.079762677721494
global_step=320, return=-2.1527015335988016
global_step=320, return=-0.7911481810172463
global_step=336, return=-5.9654343586531535
global_step=368, return=-5.824704753847383
global_step=368, return=5.844845218720089
global_step=400, return=-1.1296804527030095
global_step=416, return=-1.7790955819071916
global_step=432, return=-1.9354626918718991
global_step=448, return=-5.917689359021304
global_step=480, return=-0.4046721519281875
global_step=480, return=-3.024185294774644
global_step=496, return=-4.125341769928858
global_step=528, return=-4.153071574782138
global_step=544, return=1.6425965283581057
global_step=544, return=1.7031598601536768
global_step=544, return=-3.37945489727753
global_step=592, return=-3.128603957500216
global_step=608, return=0.7007074898689042
global_step=624, return=-2.6535129466405527
global_step=624, return=-4.472149723979859
global_step=656, return=-0.4096866573255591
global_step=672, return=-0.1850172717388614
global_step=672, return=3.2413716554818404
global_step=672, return=-1.6000076311912168
global_step=704, return=-0.9584805378993457
global_step=704, return=1.6244357639010714
global_step=720, return=4.3418285356365836
global_step=720, return=-4.964411103933575
global_step=752, return=-1.8963196871855714
global_step=768, return=-4.667595687326518
global_step=768, return=-0.6754115517734669
global_step=832, return=-6.011994477632136
global_step=864, return=-2.9307174434496464
global_step=864, return=2.2270620727884944
global_step=880, return=0.22352623067487043
global_step=896, return=-3.7249059590336433
global_step=896, return=-0.8974079699399631
global_step=912, return=-2.9573294402195964
global_step=976, return=3.6520760975613418
global_step=976, return=-7.727233740847504
global_step=992, return=-4.632578205774609
global_step=992, return=2.464514405516173
global_step=1024, return=0.8993995773703112
global_step=1040, return=1.365397768108218
global_step=1056, return=5.466993674472185
global_step=1056, return=-5.946678797888542
global_step=1056, return=15.879922466724834
global_step=1056, return=-4.470018984427827
global_step=1072, return=2.0348695182077527
global_step=1088, return=-8.825576461354835
global_step=1168, return=1.1490911742060117
global_step=1184, return=-3.6689867696467875
global_step=1184, return=-5.565909526365468
global_step=1184, return=-2.205288607271327
global_step=1216, return=-2.4795545881963217
global_step=1232, return=1.4081528018222056
global_step=1248, return=-2.6007385773092104
global_step=1264, return=1.038655146855372
global_step=1312, return=5.079909792283734
global_step=1312, return=-3.91971376887066
global_step=1312, return=-1.410403543992505
global_step=1360, return=-0.17178965156716075
global_step=1360, return=-7.958067874759765
global_step=1376, return=7.9810072794976525
global_step=1408, return=10.202608645989507
global_step=1440, return=4.819990129305545
global_step=1456, return=-5.162112568657349
global_step=1488, return=-4.217944226260229
global_step=1520, return=1.5120347412941142
global_step=1520, return=1.8920104054466722
global_step=1552, return=-8.45342026590959
global_step=1584, return=-1.9797489847510246
global_step=1584, return=-1.7214318992103852
global_step=1600, return=-1.829013556493718
global_step=1616, return=-1.0337118131880731
global_step=1616, return=-3.4895414302363665
global_step=1664, return=2.5235849175362155
global_step=1712, return=0.34901945757094666
global_step=1712, return=-1.1479548216786088
global_step=1728, return=3.0044393156493356
global_step=1744, return=-2.088586915365738
global_step=1744, return=3.748708146219575
global_step=1760, return=3.520709371732602
global_step=1760, return=1.5737053013082218
global_step=1760, return=-6.88429347809261
global_step=1776, return=-5.860808037202887
global_step=1824, return=0.5257646682744418
global_step=1824, return=-4.617464838512434
global_step=1872, return=-6.110079243628411
global_step=1872, return=2.8779496620174116
global_step=1904, return=-4.173673053029546
global_step=1936, return=-3.9948214120890597
global_step=1936, return=2.8490805462779134
global_step=1968, return=-1.2170098837185732
global_step=1984, return=0.10518984988376756
global_step=1984, return=-7.730111649745246
global_step=2000, return=-3.7215602118433915
global_step=2032, return=-5.805639482666268
SPS: 674
global_step=2096, return=-13.492092400894308
global_step=2144, return=0.7560827070866402
global_step=2160, return=3.2129501481564344
global_step=2192, return=-0.7430878718564585
global_step=2192, return=-3.4596899531251513
global_step=2192, return=0.9693502588309699
global_step=2208, return=5.216458920397425
global_step=2224, return=0.3783334574277287
global_step=2240, return=16.285094171306486
global_step=2240, return=-4.94728015604713
global_step=2256, return=8.172059687933592
global_step=2272, return=-4.289206946639275
global_step=2288, return=13.878478549925163
global_step=2336, return=0.3121742540300836
global_step=2336, return=-3.1890824058081733
global_step=2400, return=10.594431973198581
global_step=2416, return=-1.050313366695589
global_step=2448, return=-4.612610838694297
global_step=2448, return=-0.527249787947351
global_step=2464, return=-11.166852292429875
global_step=2480, return=3.2332086106092133
global_step=2528, return=4.99123001540333
global_step=2544, return=2.4673766805198527
global_step=2560, return=5.992566382196292
global_step=2576, return=0.4674252393632833
global_step=2640, return=-3.330624881093211
global_step=2672, return=0.7457042092539028
global_step=2704, return=16.09024990048769
global_step=2720, return=-3.4623119989490903
global_step=2720, return=0.6035155020280158
global_step=2752, return=-5.269397275305624
global_step=2752, return=-0.6645471616464318
global_step=2768, return=3.3345882914283695
global_step=2768, return=3.963467152941867
global_step=2800, return=6.0392713388162855
global_step=2800, return=1.7889630054146317
global_step=2848, return=1.8463993959241234
global_step=2880, return=-2.812433620668438
global_step=2896, return=-6.144767202182675
global_step=2912, return=-2.8425934542377984
global_step=2944, return=7.2085078945459635
global_step=2960, return=-3.0823153117496727
global_step=2960, return=0.07812686448092199
global_step=2976, return=-1.7702281308986505
global_step=2992, return=-0.46669950085708145
global_step=2992, return=3.2849528096847704
global_step=3040, return=-2.1187611167886784
global_step=3040, return=-1.1069013645420445
global_step=3088, return=8.536306700423639
global_step=3104, return=-3.336598970320993
global_step=3152, return=-10.015237057598998
global_step=3152, return=-7.775123334527103
global_step=3152, return=-5.530493359004357
global_step=3168, return=3.224126849999571
global_step=3168, return=14.096098372766953
global_step=3168, return=-4.131057146614847
global_step=3184, return=0.29694802805671594
global_step=3216, return=-6.930259022026827
global_step=3248, return=1.0028600572070379
global_step=3328, return=5.683862425965443
global_step=3344, return=-2.933878368133552
global_step=3344, return=2.3063056654222054
global_step=3360, return=-1.393457472140653
global_step=3376, return=-0.8054586342986074
global_step=3376, return=-3.0428644655459056
global_step=3424, return=1.2320550040745264
global_step=3440, return=2.33773124328975
global_step=3440, return=0.4023818655407013
global_step=3456, return=1.2513258462673487
global_step=3456, return=7.304778618376345
global_step=3456, return=-0.47341633982726594
global_step=3472, return=-4.346342449990441
global_step=3552, return=-6.350826185724937
global_step=3600, return=-0.41380311612690657
global_step=3616, return=2.6866326583199873
global_step=3616, return=-2.3783630790537154
global_step=3632, return=-7.481712011512895
global_step=3664, return=-0.23352521735374182
global_step=3712, return=2.1258172758444687
global_step=3760, return=-5.95565743140942
global_step=3760, return=-2.217731219614268
global_step=3776, return=6.30998621852082
global_step=3776, return=12.409449896432083
global_step=3776, return=4.611210357286103
global_step=3776, return=-3.572417338683247
global_step=3792, return=4.784852391673872
global_step=3808, return=-7.730803383770267
global_step=3808, return=-5.290094601887986
global_step=3824, return=-0.8813129090072103
global_step=3888, return=-4.887818285519868
global_step=3920, return=1.734688456116869
global_step=3952, return=-2.3243265551825525
global_step=3984, return=-2.8155293229619116
global_step=4000, return=-6.699450386232296
global_step=4016, return=1.3209248949205967
global_step=4016, return=-0.7257293685253732
global_step=4032, return=7.302459927251997
global_step=4048, return=-2.266045992753039
global_step=4064, return=-2.201043347919648
global_step=4080, return=1.976822532839913
SPS: 787
global_step=4128, return=1.0799970103517231
global_step=4176, return=-5.833361655149244
global_step=4176, return=0.151553798189497
global_step=4192, return=-9.49262821346999
global_step=4192, return=-3.915633110321185
global_step=4208, return=7.895797864499673
global_step=4272, return=3.892368338443902
global_step=4288, return=0.9381473056124447
global_step=4304, return=3.0245115359887427
global_step=4368, return=-8.07768949476811
global_step=4368, return=-1.0016401315463492
global_step=4400, return=-2.6303799888044157
global_step=4416, return=-2.841335761913035
global_step=4432, return=-6.3682781525648515
global_step=4432, return=10.82082442022424
global_step=4496, return=-0.5275065752521084
global_step=4496, return=-4.165915494668583
global_step=4496, return=0.9501895659936395
global_step=4528, return=5.762911099083085
global_step=4560, return=-2.302228688974436
global_step=4592, return=1.9238052582135643
global_step=4608, return=6.200366579785879
global_step=4624, return=-3.1539307853679044
global_step=4688, return=-2.3500870585549745
global_step=4688, return=-4.014139471431298
global_step=4688, return=0.08872433910591992
global_step=4704, return=3.5303676371904253
global_step=4704, return=-1.82341909958149
global_step=4704, return=3.0674314018290847
global_step=4784, return=3.5608103569348586
global_step=4800, return=2.1602650174776374
