
--- Starting Training ---

global_step=448, episodic_return=-5.684818263095626
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=512, episodic_return=-1.7717553048776766
global_step=512, episodic_return=-3.9125539770079563
global_step=512, episodic_return=-5.51010612046224
global_step=576, episodic_return=-2.797058888642836
global_step=576, episodic_return=-1.7670298109680331
global_step=576, episodic_return=-2.20003558007972
global_step=640, episodic_return=-6.705429238426668
global_step=704, episodic_return=0.2141620004315452
global_step=704, episodic_return=-3.438048930079196
global_step=704, episodic_return=-2.5280664254563616
global_step=768, episodic_return=-6.29112931490429
global_step=768, episodic_return=-4.318428961566002
global_step=768, episodic_return=-0.6438881480644971
global_step=832, episodic_return=1.1647345822675406
global_step=832, episodic_return=-2.936064103413578
global_step=832, episodic_return=-3.536355930647683
global_step=832, episodic_return=-0.39428342084161594
global_step=832, episodic_return=2.2951787116481643
global_step=896, episodic_return=-1.9411317926492637
global_step=896, episodic_return=0.10296034152869527
global_step=896, episodic_return=-1.7711498801799936
global_step=896, episodic_return=-2.9318491079872757
global_step=896, episodic_return=-0.14866403532217953
global_step=960, episodic_return=-8.764208740076327
global_step=960, episodic_return=-0.09484556023303403
global_step=960, episodic_return=-7.131133846796521
global_step=960, episodic_return=-7.179899000750728
global_step=960, episodic_return=-6.645901792862932
global_step=1024, episodic_return=-2.8016943265086764
global_step=1024, episodic_return=3.3168534904806997
global_step=1088, episodic_return=-8.39004880037648
global_step=1088, episodic_return=-3.3139207230712118
global_step=1088, episodic_return=0.8364999900491945
global_step=1152, episodic_return=-4.314506968471821
global_step=1216, episodic_return=4.197150161362835
global_step=1216, episodic_return=2.086913121409119
global_step=1216, episodic_return=0.07330154046997617
global_step=1216, episodic_return=-2.441314906387902
global_step=1216, episodic_return=-2.67432247145402
global_step=1216, episodic_return=7.550536280938317
global_step=1280, episodic_return=6.00817747020747
global_step=1280, episodic_return=-5.510027634875332
global_step=1280, episodic_return=-8.68184524251216
global_step=1280, episodic_return=1.3512261578544351
global_step=1280, episodic_return=-0.21677701952312733
global_step=1280, episodic_return=1.4674781146344351
