
--- Starting Training ---

global_step=512, episodic_return=-3.066006422993537
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=576, episodic_return=-1.2307292829650753
global_step=640, episodic_return=-1.1948260772961419
global_step=704, episodic_return=-2.044566208975567
global_step=704, episodic_return=-1.4947573042647153
global_step=768, episodic_return=1.4755976950483085
global_step=768, episodic_return=0.7475348082392568
global_step=768, episodic_return=0.9906665985331214
global_step=832, episodic_return=-8.513609608724703
global_step=832, episodic_return=-3.113253916779981
global_step=832, episodic_return=-1.3574036706629307
global_step=832, episodic_return=-0.17388773809968638
global_step=832, episodic_return=-4.060380004008962
global_step=896, episodic_return=0.49880896858256174
global_step=896, episodic_return=-4.8377545002155316
global_step=896, episodic_return=0.4660825263505255
global_step=896, episodic_return=-2.089585636848529
global_step=960, episodic_return=-2.157833874267199
global_step=960, episodic_return=-4.413302072023788
global_step=960, episodic_return=3.1013864500954584
global_step=960, episodic_return=-5.559312917609539
global_step=1024, episodic_return=-4.007435931377094
global_step=1024, episodic_return=1.3009725640148386
global_step=1024, episodic_return=-6.73286929404061
global_step=1024, episodic_return=0.1312453038786392
global_step=1024, episodic_return=2.104179554466141
global_step=1088, episodic_return=6.9157081316503755
global_step=1088, episodic_return=2.8208754792237176
global_step=1152, episodic_return=1.212347313417701
global_step=1152, episodic_return=4.541665352798988
global_step=1152, episodic_return=1.7422564419965276
global_step=1216, episodic_return=-4.923085002844228
global_step=1216, episodic_return=4.651080802740984
global_step=1216, episodic_return=0.9557058306795001
global_step=1216, episodic_return=3.133507911264516
global_step=1216, episodic_return=-9.98620107929487
global_step=1280, episodic_return=-11.456504641930305
global_step=1280, episodic_return=-1.6754606263382577
global_step=1280, episodic_return=5.143737005154617
global_step=1344, episodic_return=-0.9021963982442767
global_step=1344, episodic_return=7.010419792558946
global_step=1344, episodic_return=-5.101532618576982
global_step=1408, episodic_return=2.2714111779192985
global_step=1408, episodic_return=5.2258323963253765
global_step=1408, episodic_return=-0.8394818391739236
global_step=1472, episodic_return=-1.7000055656562254
global_step=1472, episodic_return=-4.0018290182070295
global_step=1472, episodic_return=-0.5094524656759072
global_step=1472, episodic_return=-4.077732179278273
global_step=1472, episodic_return=9.233676655308685
global_step=1472, episodic_return=-2.9643631145728815
global_step=1472, episodic_return=3.3685592880265203
global_step=1472, episodic_return=7.596249047637576
global_step=1536, episodic_return=-3.2092944134956607
global_step=1536, episodic_return=-2.043768164823102
global_step=1600, episodic_return=-0.8307002643976341
global_step=1600, episodic_return=-1.9906986743143689
global_step=1600, episodic_return=3.934977356803424
global_step=1600, episodic_return=-1.8270579867318606
global_step=1664, episodic_return=-8.592361740639355
global_step=1664, episodic_return=-6.182933515348374
global_step=1664, episodic_return=-2.2753460770656986
global_step=1664, episodic_return=-4.248681314570129
global_step=1728, episodic_return=2.1569305111875723
global_step=1792, episodic_return=-3.145115439110953
global_step=1792, episodic_return=-2.00924598509297
global_step=1856, episodic_return=-1.9672835033263616
global_step=1856, episodic_return=-4.137061421835411
global_step=1920, episodic_return=-0.060403536146728554
global_step=1920, episodic_return=-1.1032524960813905
global_step=1984, episodic_return=-1.362479596943589
global_step=1984, episodic_return=-2.929735084166687
global_step=1984, episodic_return=-3.6170673430792295
global_step=1984, episodic_return=-3.6738210844699073
global_step=2048, episodic_return=-3.7680378801957497
global_step=2048, episodic_return=0.4188742599337181
global_step=2048, episodic_return=8.425158683873963
global_step=2048, episodic_return=-6.303773057693559
global_step=2048, episodic_return=2.1637019549808043
global_step=2112, episodic_return=0.7645504097260892
global_step=2112, episodic_return=-4.284073062501428
global_step=2112, episodic_return=2.754691535398008
global_step=2176, episodic_return=1.155011598701839
global_step=2176, episodic_return=10.126428799040845
global_step=2240, episodic_return=-1.8675294994288565
global_step=2240, episodic_return=-3.1881842055092533
global_step=2240, episodic_return=-2.4599113919304285
global_step=2304, episodic_return=-0.9025206623582922
global_step=2304, episodic_return=6.657449747399244
global_step=2304, episodic_return=0.8328363325354253
global_step=2304, episodic_return=1.4379027372855102
global_step=2304, episodic_return=-4.274437039191111
global_step=2368, episodic_return=4.736305928372568
global_step=2368, episodic_return=2.237989566407913
global_step=2368, episodic_return=-2.864245616199962
global_step=2432, episodic_return=-2.2987732277407593
global_step=2432, episodic_return=-0.1402586759217761
global_step=2432, episodic_return=0.02379972750849979
global_step=2496, episodic_return=-5.676184414287854
global_step=2560, episodic_return=-5.529742242042063
global_step=2560, episodic_return=2.5549970679745924
global_step=2560, episodic_return=-2.8846399383698165
global_step=2560, episodic_return=-3.1200238266331892
global_step=2560, episodic_return=-4.381951379566929
global_step=2624, episodic_return=5.998694050477687
global_step=2688, episodic_return=8.640767112946788
global_step=2688, episodic_return=-5.571973570379611
global_step=2688, episodic_return=0.6113576941178378
global_step=2752, episodic_return=11.301199481091048
global_step=2816, episodic_return=-0.3696134883472637
global_step=2816, episodic_return=-0.7690572540228584
global_step=2816, episodic_return=-4.820432017659746
global_step=2816, episodic_return=-2.836956014422906
global_step=2816, episodic_return=-0.977239583916667
global_step=2816, episodic_return=-4.80557785052459
global_step=2816, episodic_return=2.54367568332467
global_step=2880, episodic_return=3.3373667077263036
global_step=2880, episodic_return=-3.4969804514644114
global_step=2880, episodic_return=-3.217083683472854
global_step=2944, episodic_return=-2.0077564938541643
global_step=2944, episodic_return=5.400224997398849
global_step=2944, episodic_return=1.7151579777155346
global_step=2944, episodic_return=-0.40698225878837446
global_step=3008, episodic_return=-3.399037808010775
global_step=3008, episodic_return=9.471204760353325
global_step=3008, episodic_return=-3.6397151777116084
global_step=3072, episodic_return=-6.105078192280211
global_step=3072, episodic_return=-9.878920705722598
global_step=3072, episodic_return=5.55294628241809
global_step=3136, episodic_return=0.43507013401487016
global_step=3200, episodic_return=-3.5743159786565215
global_step=3200, episodic_return=6.114013980936961
global_step=3264, episodic_return=-11.29487510539911
global_step=3264, episodic_return=-10.451863372511111
global_step=3264, episodic_return=1.9015200244647255
global_step=3264, episodic_return=-4.449459772398196
global_step=3264, episodic_return=-3.4058352157745704
global_step=3328, episodic_return=-6.451953643537053
global_step=3328, episodic_return=-2.7403811162433467
global_step=3328, episodic_return=-0.3624447157421551
global_step=3328, episodic_return=3.8554831624580794
global_step=3392, episodic_return=-5.518548292589306
global_step=3392, episodic_return=3.5996330256574516
global_step=3392, episodic_return=4.012240216106423
global_step=3392, episodic_return=-4.952363089625536
global_step=3456, episodic_return=-5.4819888951525435
global_step=3520, episodic_return=-1.089494078323876
global_step=3520, episodic_return=-4.176325179597058
global_step=3520, episodic_return=-5.7803090053903965
global_step=3520, episodic_return=5.061667871647967
global_step=3584, episodic_return=-4.848085004021435
global_step=3584, episodic_return=-7.062937756518681
global_step=3648, episodic_return=12.163609681720628
global_step=3648, episodic_return=-4.654564394139271
global_step=3648, episodic_return=3.7359614077204197
global_step=3648, episodic_return=0.23179096123238074
global_step=3712, episodic_return=6.054369471985813
global_step=3712, episodic_return=-2.6048417782485744
global_step=3712, episodic_return=-1.4883509369322023
global_step=3712, episodic_return=1.5124158574427373
global_step=3712, episodic_return=0.5644163611552404
global_step=3712, episodic_return=-1.1900454146411166
global_step=3712, episodic_return=-5.1347039903481635
global_step=3776, episodic_return=-3.5466650084457174
global_step=3776, episodic_return=11.768694173443773
global_step=3776, episodic_return=2.7565230761655997
global_step=3776, episodic_return=-3.6916674751255387
global_step=3776, episodic_return=1.9476043782982244
global_step=3776, episodic_return=-1.6192838451671145
global_step=3840, episodic_return=0.7655396060268742
global_step=3840, episodic_return=-4.041623221424449
global_step=3904, episodic_return=-3.783758576109812
global_step=3968, episodic_return=1.2157353675781992
global_step=3968, episodic_return=4.996940859359422
global_step=3968, episodic_return=-5.341423066819255
global_step=3968, episodic_return=2.6153798211108557
global_step=3968, episodic_return=-0.2289785422995917
global_step=4032, episodic_return=10.619557343582718
global_step=4032, episodic_return=-3.905755610305998
global_step=4096, episodic_return=-5.233281163894162
global_step=4096, episodic_return=1.2270851467244464
global_step=4096, episodic_return=7.115303136659119
global_step=4160, episodic_return=7.0336894356423265
global_step=4160, episodic_return=-4.717847390902414
global_step=4160, episodic_return=-3.606573627143676
global_step=4224, episodic_return=-1.5050802711057663
global_step=4224, episodic_return=-1.6679429364992662
global_step=4224, episodic_return=-3.643821698538482
global_step=4224, episodic_return=-2.042836401164939
global_step=4288, episodic_return=-2.6097707119881575
global_step=4288, episodic_return=-7.375999850912896
global_step=4288, episodic_return=0.1375836165969222
global_step=4352, episodic_return=-0.8045582546722283
global_step=4352, episodic_return=-9.814859522064266
global_step=4352, episodic_return=-3.4269916024363516
global_step=4352, episodic_return=-0.6162682097625567
global_step=4416, episodic_return=1.006544883923737
global_step=4416, episodic_return=-3.3622594114541706
global_step=4480, episodic_return=-5.893229428900795
global_step=4480, episodic_return=-4.643829811729689
global_step=4480, episodic_return=-6.138795590921562
global_step=4480, episodic_return=-1.7829499716636314
global_step=4544, episodic_return=-5.4414346222753585
global_step=4544, episodic_return=-4.034545755817843
global_step=4544, episodic_return=-0.48971019028661567
global_step=4608, episodic_return=0.0438189396656965
global_step=4608, episodic_return=-1.4329906950681317
global_step=4608, episodic_return=-1.9623755531229332
global_step=4608, episodic_return=12.927770488113246
global_step=4672, episodic_return=-3.955883851690775
global_step=4672, episodic_return=5.602714072767232
global_step=4672, episodic_return=-1.89105100179452
global_step=4736, episodic_return=-3.0793249452290485
global_step=4736, episodic_return=0.755879913737945
global_step=4736, episodic_return=-5.078402150140005
global_step=4736, episodic_return=2.5975186353826984
global_step=4736, episodic_return=2.959206255137853
global_step=4800, episodic_return=-0.9482410426863324
global_step=4800, episodic_return=-1.8048873155016463
global_step=4800, episodic_return=4.865210922646843
global_step=4800, episodic_return=3.4110880245131945
global_step=4864, episodic_return=-3.30234502651526
global_step=4864, episodic_return=-2.9908436273721755
global_step=4928, episodic_return=3.48848378954564
global_step=4928, episodic_return=9.850476115257717
global_step=4992, episodic_return=-0.6526413970369609
global_step=4992, episodic_return=-1.81118585806577
global_step=4992, episodic_return=9.172818493893093
