
--- Starting Training ---

global_step=512, episodic_return=-3.066006422993537
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=576, episodic_return=-1.2307292829650753
global_step=640, episodic_return=-1.1948260772961419
global_step=704, episodic_return=-0.7350367350472959
global_step=704, episodic_return=-2.044566208975567
global_step=704, episodic_return=-1.4947573042647153
global_step=768, episodic_return=1.498350395414954
global_step=768, episodic_return=1.4755976950483085
global_step=832, episodic_return=-8.513609608724703
global_step=832, episodic_return=-3.4117233257651196
global_step=832, episodic_return=-1.077087143930159
global_step=832, episodic_return=0.11701727312299548
global_step=832, episodic_return=-0.17388773809968638
global_step=832, episodic_return=-4.060380004008962
global_step=896, episodic_return=0.701108598805462
global_step=896, episodic_return=-4.8377545002155316
global_step=896, episodic_return=0.4660825263505255
global_step=896, episodic_return=-2.089585636848529
global_step=960, episodic_return=-2.157833874267199
global_step=960, episodic_return=-5.925936091185092
global_step=960, episodic_return=-4.075903462672828
global_step=960, episodic_return=-5.559312917609539
global_step=1024, episodic_return=-3.7832534070789503
global_step=1024, episodic_return=0.3360647509168433
global_step=1024, episodic_return=4.202744018905429
global_step=1024, episodic_return=2.104179554466141
global_step=1088, episodic_return=0.8995273062749912
global_step=1152, episodic_return=1.212347313417701
global_step=1152, episodic_return=5.305314802212776
global_step=1152, episodic_return=2.3302253569608657
global_step=1216, episodic_return=-4.938691590341991
global_step=1216, episodic_return=4.651080802740984
global_step=1216, episodic_return=0.9557058306795001
global_step=1216, episodic_return=-6.6438058194170635
global_step=1216, episodic_return=-9.98620107929487
global_step=1280, episodic_return=-11.664553643593257
global_step=1280, episodic_return=-8.61262820106258
global_step=1280, episodic_return=3.9200759335380875
global_step=1280, episodic_return=4.70376111798068
global_step=1280, episodic_return=5.662087209671552
global_step=1280, episodic_return=0.8751352799292538
global_step=1344, episodic_return=-0.9021963982442767
global_step=1344, episodic_return=2.973942543987456
global_step=1344, episodic_return=7.010419792558946
global_step=1408, episodic_return=6.206924580203569
global_step=1472, episodic_return=0.7793732501352528
global_step=1472, episodic_return=-0.5094524656759072
global_step=1472, episodic_return=-3.231374172849436
global_step=1472, episodic_return=9.233676655308685
global_step=1472, episodic_return=-0.7785113084303705
global_step=1472, episodic_return=-2.9643631145728815
global_step=1472, episodic_return=2.499557390943076
global_step=1472, episodic_return=3.3685592880265203
global_step=1536, episodic_return=-3.9760395432093567
global_step=1536, episodic_return=-4.330242688258373
global_step=1600, episodic_return=-1.9906986743143689
global_step=1600, episodic_return=-1.8270579867318606
global_step=1664, episodic_return=-3.0927369424055584
global_step=1664, episodic_return=-6.182933515348374
global_step=1664, episodic_return=-2.2753460770656986
global_step=1664, episodic_return=-4.248681314570129
global_step=1728, episodic_return=2.789488615828466
global_step=1728, episodic_return=-1.9501762770201547
global_step=1792, episodic_return=-0.39799753729290255
global_step=1856, episodic_return=2.814581967914992
global_step=1920, episodic_return=4.719965320071507
global_step=1920, episodic_return=-2.637144799464002
global_step=1920, episodic_return=0.15998497513122367
global_step=1920, episodic_return=0.8669875659267985
global_step=1920, episodic_return=7.592912547954363
global_step=1984, episodic_return=1.7295266131826978
global_step=1984, episodic_return=-2.929735084166687
global_step=1984, episodic_return=-3.6170673430792295
global_step=1984, episodic_return=5.590474393824676
global_step=1984, episodic_return=-0.2137360891940292
global_step=2048, episodic_return=-3.7680378801957497
global_step=2048, episodic_return=-1.5680730063617794
global_step=2048, episodic_return=-1.1805320130614596
global_step=2048, episodic_return=-1.7530203963051587
global_step=2048, episodic_return=-6.302291279645916
global_step=2048, episodic_return=10.265592181662226
global_step=2112, episodic_return=-0.9810634516413768
global_step=2176, episodic_return=-0.5765907436690068
global_step=2240, episodic_return=-2.2283111286908666
global_step=2240, episodic_return=0.986937286980079
global_step=2240, episodic_return=1.0583541494851687
global_step=2240, episodic_return=-4.547108516142858
global_step=2240, episodic_return=-2.4599113919304285
global_step=2304, episodic_return=-2.8443856660449516
global_step=2368, episodic_return=4.736305928372568
global_step=2368, episodic_return=2.237989566407913
global_step=2368, episodic_return=-2.864245616199962
global_step=2368, episodic_return=5.3933577517334035
global_step=2432, episodic_return=-0.00018359067253870265
global_step=2432, episodic_return=-0.13329699965521402
global_step=2432, episodic_return=-6.940205404593773
global_step=2496, episodic_return=0.5623869178971346
global_step=2496, episodic_return=-0.9330410270556175
global_step=2496, episodic_return=3.5240363952993117
global_step=2560, episodic_return=2.5549970679745924
global_step=2560, episodic_return=-7.521202612135204
global_step=2560, episodic_return=-3.1200238266331892
global_step=2560, episodic_return=-4.090960725735197
global_step=2624, episodic_return=5.998694050477687
global_step=2624, episodic_return=-4.8820961218975665
global_step=2688, episodic_return=-1.6945813493583908
global_step=2688, episodic_return=1.4093167515789595
global_step=2752, episodic_return=-1.857933801825953
global_step=2752, episodic_return=7.629050962244265
global_step=2752, episodic_return=-0.7567472446462027
global_step=2816, episodic_return=-3.0678500064871876
global_step=2816, episodic_return=12.19917189821385
global_step=2816, episodic_return=-6.705302698247335
global_step=2816, episodic_return=-2.0900742492714786
global_step=2816, episodic_return=-2.358176920255203
global_step=2816, episodic_return=0.8926101280183188
global_step=2816, episodic_return=-3.790622277722443
global_step=2816, episodic_return=1.9679838550514908
global_step=2880, episodic_return=3.225363435804609
global_step=2880, episodic_return=-3.823831015480474
global_step=2880, episodic_return=0.6589976987342746
global_step=2880, episodic_return=-0.5597513129320906
global_step=2880, episodic_return=-6.626417938461573
global_step=2944, episodic_return=-3.2936796408374436
global_step=2944, episodic_return=5.400224997398849
global_step=2944, episodic_return=-0.8247428023800385
global_step=2944, episodic_return=2.0640557943762015
global_step=2944, episodic_return=0.80304365172745
global_step=2944, episodic_return=-3.5543257112711863
global_step=3008, episodic_return=0.9213753465111101
global_step=3072, episodic_return=5.80004630899216
global_step=3072, episodic_return=-10.89755131381117
global_step=3072, episodic_return=-1.2779652592203452
global_step=3136, episodic_return=-3.0956593692778305
global_step=3136, episodic_return=1.6208182416891157
global_step=3200, episodic_return=-2.2223003217304864
global_step=3200, episodic_return=-6.213821677836834
global_step=3264, episodic_return=19.650984808885326
global_step=3264, episodic_return=-9.500265689775242
global_step=3264, episodic_return=-1.0395604809867018
global_step=3264, episodic_return=1.1498729291028535
global_step=3264, episodic_return=-4.437551733879247
global_step=3328, episodic_return=0.18542795800433765
global_step=3328, episodic_return=0.12091105474034625
global_step=3392, episodic_return=-4.326461524057891
global_step=3392, episodic_return=-2.110992100263317
global_step=3392, episodic_return=-5.247035260360539
global_step=3456, episodic_return=-5.611943888934674
global_step=3456, episodic_return=-5.4819888951525435
global_step=3520, episodic_return=-1.089494078323876
global_step=3520, episodic_return=-4.428373188277536
global_step=3520, episodic_return=-1.9156372348942643
global_step=3520, episodic_return=5.061667871647967
global_step=3584, episodic_return=-2.70334985488907
global_step=3584, episodic_return=-3.776870956179932
global_step=3584, episodic_return=2.7215749057322602
global_step=3648, episodic_return=-4.655803859956459
global_step=3648, episodic_return=-2.6612675839002597
global_step=3648, episodic_return=3.862177559145811
global_step=3648, episodic_return=-4.885793575812384
global_step=3648, episodic_return=-7.0325050566301295
global_step=3712, episodic_return=6.05320476873507
global_step=3712, episodic_return=3.9011445230765407
global_step=3712, episodic_return=-0.6492557804672152
global_step=3712, episodic_return=-5.782495640960569
global_step=3712, episodic_return=-2.607609458820355
global_step=3712, episodic_return=-3.551834215599208
global_step=3776, episodic_return=2.3684025514211693
global_step=3776, episodic_return=-0.15119715061775363
global_step=3776, episodic_return=-1.1429361932894277
global_step=3776, episodic_return=-2.861754010672784
global_step=3840, episodic_return=-0.6098971203963144
global_step=3904, episodic_return=3.965623047324769
global_step=3904, episodic_return=-4.643448107570561
global_step=3904, episodic_return=-2.4133629642741705
global_step=3968, episodic_return=-0.9758563879028623
global_step=3968, episodic_return=-4.8752989783593845
global_step=3968, episodic_return=3.669896890480378
global_step=3968, episodic_return=0.9088703913733308
global_step=3968, episodic_return=-3.7980253308859613
global_step=4032, episodic_return=7.932870553182292
global_step=4096, episodic_return=1.2256052553374486
global_step=4096, episodic_return=2.1683917660592362
global_step=4096, episodic_return=0.2995994317323774
global_step=4096, episodic_return=-4.521657401156612
global_step=4160, episodic_return=-0.5328622904457978
global_step=4160, episodic_return=7.0336894356423265
global_step=4160, episodic_return=0.6364475982029993
global_step=4160, episodic_return=-0.5882502571496011
global_step=4224, episodic_return=-1.2353500738369867
global_step=4224, episodic_return=-4.388129613324366
global_step=4288, episodic_return=-2.606592380786922
global_step=4288, episodic_return=-4.225108863535457
global_step=4288, episodic_return=4.119830976573702
global_step=4288, episodic_return=-6.810380864118623
global_step=4288, episodic_return=-0.3787114687533235
global_step=4288, episodic_return=7.539015025285144
global_step=4352, episodic_return=-3.5053731793904594
global_step=4416, episodic_return=-3.032896499818505
global_step=4416, episodic_return=9.75303744610584
global_step=4480, episodic_return=-4.960752827845908
global_step=4480, episodic_return=-9.144442286561786
global_step=4480, episodic_return=-1.7795119766315752
global_step=4480, episodic_return=2.5121855918483385
global_step=4544, episodic_return=0.6335133659663117
global_step=4544, episodic_return=-4.445548269834568
global_step=4608, episodic_return=-0.5054576543387833
global_step=4608, episodic_return=-8.28066557896353
global_step=4608, episodic_return=3.6218634121762356
global_step=4608, episodic_return=-4.45747364828701
global_step=4608, episodic_return=-6.219649016535544
global_step=4608, episodic_return=12.798089632542839
global_step=4672, episodic_return=-4.748615363052806
global_step=4672, episodic_return=-4.282872990297544
global_step=4672, episodic_return=-3.7963947554053163
global_step=4672, episodic_return=1.0887489880825059
global_step=4672, episodic_return=-1.881395790911465
global_step=4736, episodic_return=-3.084975884454689
global_step=4800, episodic_return=4.556163740586814
global_step=4800, episodic_return=-0.2654682489921114
global_step=4864, episodic_return=-0.9493020799837057
global_step=4928, episodic_return=-0.48143874812619947
global_step=4928, episodic_return=-6.16542499290237
global_step=4928, episodic_return=5.968677298969613
global_step=4928, episodic_return=0.999894891007922
global_step=4928, episodic_return=-4.75837642294352
global_step=4992, episodic_return=-0.6524403541677704
global_step=4992, episodic_return=5.781673903855876
global_step=4992, episodic_return=3.882183868778256
