
--- Starting Training ---

global_step=448, episodic_return=-5.499530017093921
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=512, episodic_return=-2.635872406958405
global_step=512, episodic_return=-3.685084246300903
global_step=512, episodic_return=-5.51010612046224
global_step=576, episodic_return=-2.797058888642836
global_step=576, episodic_return=-1.7670298109680331
global_step=576, episodic_return=-2.20003558007972
global_step=640, episodic_return=-6.705429238426668
global_step=704, episodic_return=-6.284082978722438
global_step=704, episodic_return=-7.1160191030438895
global_step=704, episodic_return=0.2141620004315452
global_step=704, episodic_return=-1.9270325600895464
global_step=704, episodic_return=-3.438048930079196
global_step=704, episodic_return=-2.5280664254563616
global_step=768, episodic_return=-1.465585454304549
global_step=768, episodic_return=-0.6438881480644971
global_step=768, episodic_return=-0.6398162730274172
global_step=832, episodic_return=1.1647345822675406
global_step=832, episodic_return=-2.936064103413578
global_step=832, episodic_return=-4.4450967180861785
global_step=832, episodic_return=-0.2319726671114657
global_step=832, episodic_return=2.2951787116481643
global_step=896, episodic_return=-1.7711498801799936
global_step=896, episodic_return=-1.9704485463524994
global_step=896, episodic_return=-0.14866403532217953
global_step=960, episodic_return=1.6148200870051845
global_step=960, episodic_return=-0.09484556023303403
global_step=960, episodic_return=-2.5693806619769473
global_step=960, episodic_return=-7.086598505368389
global_step=960, episodic_return=1.6413124873966303
global_step=960, episodic_return=-8.006709202733463
global_step=1024, episodic_return=-7.78735194313784
global_step=1024, episodic_return=-2.510177479068484
global_step=1088, episodic_return=-8.39004880037648
global_step=1088, episodic_return=0.07462146093407496
global_step=1152, episodic_return=-7.140908023175793
global_step=1152, episodic_return=5.816007237840112
global_step=1216, episodic_return=-4.520806081265583
global_step=1216, episodic_return=2.086913121409119
global_step=1216, episodic_return=-0.5615882667165415
global_step=1216, episodic_return=-5.337017141777581
global_step=1216, episodic_return=-3.318293042486281
global_step=1216, episodic_return=-4.036312257502305
global_step=1280, episodic_return=6.00817747020747
global_step=1280, episodic_return=-5.510027634875332
global_step=1280, episodic_return=-8.68184524251216
global_step=1280, episodic_return=1.3512261578544351
global_step=1280, episodic_return=-0.21677701952312733
global_step=1280, episodic_return=-3.8551114724481628
global_step=1280, episodic_return=7.398105161694679
global_step=1344, episodic_return=-3.354313170258783
global_step=1344, episodic_return=-9.853563774395946
global_step=1472, episodic_return=8.004432123717145
global_step=1536, episodic_return=-3.9279949739057027
global_step=1600, episodic_return=5.76876712078034
global_step=1600, episodic_return=0.37358747549337545
global_step=1600, episodic_return=5.44472351610297
global_step=1600, episodic_return=-2.724369957969568
global_step=1664, episodic_return=6.64094022016964
