
--- Starting Training ---

global_step=576, episodic_return=-1.9922048289872185
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=640, episodic_return=-0.8929025788130702
global_step=640, episodic_return=-6.315370341403089
global_step=704, episodic_return=-1.6860243372026291
global_step=704, episodic_return=-2.605844817195827
global_step=768, episodic_return=-1.7159821016873864
global_step=768, episodic_return=-0.8115263200896314
global_step=768, episodic_return=-5.56361035629093
global_step=768, episodic_return=0.9229090101344206
global_step=768, episodic_return=-4.828681666641241
global_step=768, episodic_return=-0.9933739080242585
global_step=832, episodic_return=0.3011878484929127
global_step=832, episodic_return=-1.8634276529398466
global_step=832, episodic_return=-11.157647444820284
global_step=832, episodic_return=-7.925468510982557
global_step=832, episodic_return=-8.456288486424166
global_step=832, episodic_return=-1.650087012745936
global_step=896, episodic_return=2.216365640602977
global_step=896, episodic_return=1.3036402140036474
global_step=896, episodic_return=-3.2115882640663975
global_step=896, episodic_return=-2.010563500323476
global_step=896, episodic_return=-1.580305412423042
global_step=960, episodic_return=-6.773364554251654
global_step=960, episodic_return=1.5444094534872335
global_step=1024, episodic_return=-0.5139179931102063
global_step=1024, episodic_return=0.4944316692967894
global_step=1024, episodic_return=-6.361048970159786
global_step=1024, episodic_return=0.9791484307877121
global_step=1088, episodic_return=-7.928860362052693
global_step=1088, episodic_return=0.6782551347917458
global_step=1152, episodic_return=-1.1858210646968437
global_step=1152, episodic_return=-5.468476254104622
global_step=1152, episodic_return=-19.06679547869302
global_step=1152, episodic_return=-6.588767709692646
global_step=1152, episodic_return=5.144488674579076
global_step=1152, episodic_return=4.563008037946041
global_step=1216, episodic_return=4.312498887440719
global_step=1280, episodic_return=0.7873183712854618
global_step=1280, episodic_return=5.91996128190406
global_step=1280, episodic_return=-2.4614486671412985
global_step=1280, episodic_return=-6.343831065780965
global_step=1344, episodic_return=4.336532691188505
global_step=1344, episodic_return=-6.220773231549221
global_step=1408, episodic_return=-10.267357745355975
global_step=1408, episodic_return=4.345118424559934
global_step=1472, episodic_return=-2.5420159835058014
global_step=1472, episodic_return=-4.480467285949026
global_step=1536, episodic_return=-3.1078145417043803
global_step=1536, episodic_return=3.439060708427818
global_step=1536, episodic_return=-6.48675359436259
global_step=1600, episodic_return=12.403678850873298
global_step=1600, episodic_return=-3.0013446034675786
global_step=1664, episodic_return=-0.9217108040701012
global_step=1664, episodic_return=-4.521692661786611
global_step=1664, episodic_return=-6.511585058080759
global_step=1664, episodic_return=-0.55705603367403
global_step=1728, episodic_return=-3.0187783243430633
global_step=1728, episodic_return=-6.793808181509423
global_step=1728, episodic_return=-2.557422674610796
global_step=1728, episodic_return=-5.055267895156921
