
--- Starting Training ---

global_step=448, episodic_return=-4.260474035763087
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=512, episodic_return=-3.7460924893474026
global_step=640, episodic_return=-3.2987794194434747
global_step=640, episodic_return=-3.2104662605064043
global_step=640, episodic_return=-6.7162452735874005
global_step=704, episodic_return=-2.4116882766702465
global_step=704, episodic_return=0.27739100524329197
global_step=704, episodic_return=0.4378471629933157
global_step=768, episodic_return=0.493732609324788
global_step=768, episodic_return=-2.0070534440575463
global_step=768, episodic_return=-5.044867379074267
global_step=768, episodic_return=-2.9187715817494677
global_step=768, episodic_return=-1.4702504830757
global_step=832, episodic_return=-0.4836324635311189
global_step=832, episodic_return=0.683860204585907
global_step=832, episodic_return=0.18481679026407016
global_step=832, episodic_return=-7.673164159933648
global_step=896, episodic_return=-4.389409329114848
global_step=896, episodic_return=-2.3161238333551855
global_step=960, episodic_return=1.1529671411262947
global_step=960, episodic_return=2.136086893248864
global_step=960, episodic_return=-1.8612783004954463
global_step=960, episodic_return=-4.447039602394625
global_step=960, episodic_return=-1.9793816525207293
global_step=1024, episodic_return=0.17173832609212902
global_step=1024, episodic_return=-2.377078891208719
global_step=1024, episodic_return=-12.798542967777996
global_step=1024, episodic_return=-2.3870755360334153
global_step=1088, episodic_return=-7.837747777667506
global_step=1088, episodic_return=-7.262357586181205
global_step=1152, episodic_return=-0.11586357663788904
global_step=1152, episodic_return=-1.3240074556660186
global_step=1216, episodic_return=2.132747208850632
global_step=1216, episodic_return=-1.906145097184577
global_step=1216, episodic_return=7.19570290520122
global_step=1280, episodic_return=-5.727729890220986
global_step=1280, episodic_return=-4.476478423399701
global_step=1280, episodic_return=-7.906511756415389
global_step=1344, episodic_return=2.567106133251033
global_step=1344, episodic_return=2.1434311866874625
global_step=1344, episodic_return=-8.089728729226042
global_step=1408, episodic_return=-9.123799721020971
global_step=1408, episodic_return=-7.531786774874984
global_step=1408, episodic_return=4.784515831002461
global_step=1536, episodic_return=1.0689083491378075
global_step=1536, episodic_return=-10.7739773426268
global_step=1536, episodic_return=-1.4671498064567097
global_step=1536, episodic_return=-8.995145937589164
global_step=1600, episodic_return=3.805469524296938
global_step=1600, episodic_return=-8.269300234621346
global_step=1664, episodic_return=1.9921653337399914
global_step=1664, episodic_return=-2.857250949268148
global_step=1664, episodic_return=-3.020828489535788
global_step=1664, episodic_return=0.7057381239246611
global_step=1664, episodic_return=-1.7232029099141895
global_step=1664, episodic_return=3.233713937944293
global_step=1664, episodic_return=-9.130152183496513
global_step=1664, episodic_return=9.47366300584951
global_step=1728, episodic_return=-4.881779690181421
global_step=1728, episodic_return=-4.143977038776357
global_step=1792, episodic_return=-1.4526179293319639
global_step=1792, episodic_return=5.9260782279224875
