
--- Starting Training ---

global_step=704, episodic_return=-0.4819804027258894
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=768, episodic_return=-2.808897714763179
global_step=768, episodic_return=-0.057195625429513286
global_step=768, episodic_return=1.318161991152914
global_step=768, episodic_return=-4.2363592515204695
global_step=832, episodic_return=-2.396979374487833
global_step=832, episodic_return=-3.3144155632664924
global_step=832, episodic_return=-7.438409271023865
global_step=832, episodic_return=-1.9277330048380454
global_step=832, episodic_return=-2.2805238814211966
global_step=832, episodic_return=-2.6897899034319304
global_step=832, episodic_return=-2.139685555560986
global_step=832, episodic_return=-0.4294098111818816
global_step=832, episodic_return=-4.555622857083476
global_step=832, episodic_return=-6.679254429482197
global_step=896, episodic_return=-0.6343985073828515
global_step=896, episodic_return=-2.1242726255406312
global_step=896, episodic_return=3.2129812446024246
global_step=960, episodic_return=-2.0741551177473863
global_step=960, episodic_return=-6.8833356407969175
global_step=960, episodic_return=-9.997660333429453
global_step=960, episodic_return=-2.552699040136683
global_step=960, episodic_return=-1.3217978805712502
global_step=960, episodic_return=-4.018194813062642
global_step=960, episodic_return=-2.691029617673049
global_step=960, episodic_return=-6.935147622928186
global_step=1024, episodic_return=6.4570409700034626
global_step=1024, episodic_return=2.1658574015760363
global_step=1024, episodic_return=0.5105502586776616
global_step=1024, episodic_return=-5.302269838688018
global_step=1024, episodic_return=-0.5463368219792629
global_step=1088, episodic_return=-10.578765276644276
global_step=1088, episodic_return=1.0192097902747563
global_step=1152, episodic_return=-0.3420661236027658
global_step=1152, episodic_return=6.583761546476003
global_step=1216, episodic_return=4.767037051523599
global_step=1216, episodic_return=-5.5839280950636505
global_step=1216, episodic_return=-1.2635201569067924
global_step=1216, episodic_return=1.8653687417486862
global_step=1280, episodic_return=9.389767657421089
global_step=1280, episodic_return=-0.37832919062670056
global_step=1280, episodic_return=-4.1192475930681685
global_step=1280, episodic_return=-7.573884428504438
global_step=1344, episodic_return=-5.907258682008352
global_step=1344, episodic_return=-7.577303629795186
global_step=1408, episodic_return=3.620765868395491
global_step=1408, episodic_return=-5.830791345897313
global_step=1408, episodic_return=-2.990173096653243
global_step=1408, episodic_return=4.544852714083731
global_step=1472, episodic_return=-3.3450403806721516
global_step=1472, episodic_return=-4.891546291033725
global_step=1472, episodic_return=-8.546699630696418
global_step=1536, episodic_return=-2.2484644790676853
global_step=1536, episodic_return=-2.388647100642732
global_step=1536, episodic_return=8.35455808389013
global_step=1600, episodic_return=7.819677930516722
global_step=1600, episodic_return=11.967867745702392
global_step=1600, episodic_return=5.638277745830762
global_step=1600, episodic_return=1.3105015339040575
global_step=1664, episodic_return=-2.9799927101196166
global_step=1664, episodic_return=9.174957109058413
global_step=1664, episodic_return=-2.1969476114527606
global_step=1664, episodic_return=-1.3958529686559635
global_step=1728, episodic_return=4.361621222884406
global_step=1728, episodic_return=-6.105983253964412
global_step=1728, episodic_return=-1.2309307264447154
global_step=1728, episodic_return=-2.9157726641033905
global_step=1792, episodic_return=-4.38963364221949
global_step=1792, episodic_return=1.7765900527431637
global_step=1856, episodic_return=-6.5694109853038265
global_step=1856, episodic_return=-7.915830016568442
global_step=1856, episodic_return=1.8081524241943412
global_step=1856, episodic_return=-4.3929773675097294
global_step=1856, episodic_return=0.7974020699288633
global_step=1920, episodic_return=-7.919903757670734
global_step=1920, episodic_return=2.2792316135440718
global_step=1920, episodic_return=-6.473242707153552
global_step=1920, episodic_return=-2.5874702885120286
global_step=1984, episodic_return=-0.9486177235653988
global_step=1984, episodic_return=-3.705043918452299
global_step=1984, episodic_return=-0.7879878792139798
global_step=1984, episodic_return=-4.933901398848411
global_step=1984, episodic_return=-6.328424423321809
global_step=1984, episodic_return=-3.7191998382653417
global_step=1984, episodic_return=2.94051931212438
global_step=2048, episodic_return=-1.0199322967430255
global_step=2112, episodic_return=-5.130616706353403
global_step=2112, episodic_return=-5.141386100273341
global_step=2112, episodic_return=-9.273729917049675
global_step=2176, episodic_return=3.2567697437918284
global_step=2176, episodic_return=0.1216904415066914
global_step=2176, episodic_return=-3.3572141391518793
global_step=2240, episodic_return=23.525548008642374
global_step=2304, episodic_return=-8.159499561173913
global_step=2304, episodic_return=5.8358783002026335
global_step=2304, episodic_return=-2.027547012096667
global_step=2304, episodic_return=-5.6092201064808
global_step=2368, episodic_return=-3.7593479608532583
global_step=2368, episodic_return=-0.9562751787809458
global_step=2432, episodic_return=5.328507631625894
global_step=2432, episodic_return=-3.8119864448402385
global_step=2496, episodic_return=1.0464378915037256
global_step=2496, episodic_return=-3.8764605670721353
global_step=2496, episodic_return=2.0479626051214637
global_step=2560, episodic_return=0.9619885275392732
global_step=2560, episodic_return=-5.524679641716319
global_step=2560, episodic_return=13.895861011420518
global_step=2560, episodic_return=4.633159400967758
global_step=2624, episodic_return=-0.12788424568245294
global_step=2624, episodic_return=-4.6583027530304015
global_step=2624, episodic_return=3.9625459560048197
global_step=2688, episodic_return=-9.465119205711156
global_step=2688, episodic_return=-4.148305787075367
global_step=2688, episodic_return=-4.462218477968137
global_step=2688, episodic_return=16.075970922147313
global_step=2688, episodic_return=5.049459727947149
global_step=2688, episodic_return=-0.4349763791263985
global_step=2752, episodic_return=12.772355993601336
global_step=2752, episodic_return=-2.0437047641189716
global_step=2752, episodic_return=5.766204811184082
global_step=2752, episodic_return=0.33777788854852275
global_step=2752, episodic_return=-2.434820037082864
global_step=2752, episodic_return=-0.8879735416371646
global_step=2752, episodic_return=-3.4122975669863322
global_step=2752, episodic_return=4.195770352781368
global_step=2816, episodic_return=2.734482334043517
global_step=2816, episodic_return=-4.063352147965442
global_step=2880, episodic_return=5.589316876845902
global_step=2880, episodic_return=-6.710673720562305
global_step=2880, episodic_return=-1.4372292329360776
global_step=2880, episodic_return=1.5003770045674376
global_step=3072, episodic_return=5.085918164552704
global_step=3136, episodic_return=0.21048562118275327
global_step=3136, episodic_return=-6.3051448197219155
global_step=3136, episodic_return=-8.254872954154807
global_step=3136, episodic_return=-2.5263122149019575
global_step=3200, episodic_return=-3.9189990779189
global_step=3200, episodic_return=0.5145924321656695
global_step=3264, episodic_return=1.9788459877100055
global_step=3264, episodic_return=-3.7453763087253042
global_step=3264, episodic_return=3.753050638810734
global_step=3328, episodic_return=-3.5451091462021327
global_step=3328, episodic_return=-4.599196751455109
global_step=3328, episodic_return=-6.878673983666001
global_step=3392, episodic_return=-2.78312400817684
global_step=3456, episodic_return=12.267008299541763
global_step=3456, episodic_return=-0.5384421551569246
global_step=3456, episodic_return=4.735995565132724
global_step=3456, episodic_return=2.6016273078774432
global_step=3456, episodic_return=-4.108418330599041
global_step=3520, episodic_return=-6.638887602592606
global_step=3520, episodic_return=4.086357846283594
global_step=3520, episodic_return=-0.7516099100004394
global_step=3520, episodic_return=1.7610502002591701
global_step=3584, episodic_return=-2.205912318294148
global_step=3584, episodic_return=14.144433655616448
global_step=3584, episodic_return=-2.0669648294745326
global_step=3584, episodic_return=3.5109472018966845
global_step=3584, episodic_return=-8.240856344096008
global_step=3584, episodic_return=-1.9665094653390056
global_step=3648, episodic_return=-4.01587365289046
global_step=3648, episodic_return=-0.4737979151747258
global_step=3648, episodic_return=-0.3619492004439537
global_step=3648, episodic_return=-8.473930469406184
global_step=3712, episodic_return=-2.5977890592340414
global_step=3712, episodic_return=-1.0238115189012533
global_step=3712, episodic_return=14.570046604703803
global_step=3776, episodic_return=-6.132901604573071
global_step=3776, episodic_return=1.7922955158507488
global_step=3776, episodic_return=0.9631417801897271
