
--- Starting Training ---

global_step=448, episodic_return=-5.684818263095626
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=512, episodic_return=-1.7717553048776766
global_step=512, episodic_return=-3.9125539770079563
global_step=512, episodic_return=-5.51010612046224
global_step=576, episodic_return=-2.797058888642836
global_step=576, episodic_return=-2.20003558007972
global_step=640, episodic_return=-3.8375423485696167
global_step=640, episodic_return=-6.705429238426668
global_step=704, episodic_return=0.2141620004315452
global_step=704, episodic_return=-6.557165243831365
global_step=704, episodic_return=-2.5280664254563616
global_step=768, episodic_return=-6.081990146277361
global_step=832, episodic_return=1.1647345822675406
global_step=832, episodic_return=-2.936064103413578
global_step=832, episodic_return=-3.536355930647683
global_step=832, episodic_return=-0.39428342084161594
global_step=832, episodic_return=-1.3143554914792568
global_step=832, episodic_return=2.2951787116481643
global_step=896, episodic_return=-1.9411317926492637
global_step=896, episodic_return=-1.7711498801799936
global_step=896, episodic_return=-2.9318491079872757
global_step=960, episodic_return=-8.764208740076327
global_step=960, episodic_return=-0.09484556023303403
global_step=960, episodic_return=3.5502604697581583
global_step=960, episodic_return=-7.131133846796521
global_step=960, episodic_return=-6.645901792862932
global_step=1024, episodic_return=-5.401459097653955
global_step=1024, episodic_return=-0.9465598066374292
global_step=1024, episodic_return=-2.8016943265086764
global_step=1024, episodic_return=1.5362436197674505
global_step=1088, episodic_return=-4.37485266518041
global_step=1088, episodic_return=-5.241230529302503
global_step=1088, episodic_return=0.8364999900491945
global_step=1152, episodic_return=4.384862043933542
global_step=1152, episodic_return=-1.2438548102314968
global_step=1152, episodic_return=1.011677796120015
global_step=1152, episodic_return=1.6013249511299277
global_step=1152, episodic_return=5.557985265881309
global_step=1216, episodic_return=2.086913121409119
global_step=1216, episodic_return=0.07330154046997617
global_step=1216, episodic_return=-1.4841240715297868
global_step=1216, episodic_return=7.550536280938317
global_step=1280, episodic_return=6.00817747020747
global_step=1280, episodic_return=-8.68184524251216
global_step=1280, episodic_return=1.1508867440781758
global_step=1408, episodic_return=-6.755481230042861
global_step=1408, episodic_return=-0.16620646230184155
