
--- Starting Training ---

global_step=512, episodic_return=-1.821345649661922
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=576, episodic_return=-3.6040051388933096
global_step=576, episodic_return=-1.8486044954260041
global_step=576, episodic_return=-4.242090677962185
global_step=576, episodic_return=-4.4306763376102065
global_step=640, episodic_return=-3.2475683699198066
global_step=640, episodic_return=-1.062250747556403
global_step=640, episodic_return=-2.548321279831763
global_step=704, episodic_return=-5.33424340039733
global_step=704, episodic_return=-3.0468112615937777
global_step=768, episodic_return=-3.6516250249370605
global_step=768, episodic_return=-3.5798250897342805
global_step=768, episodic_return=-3.4945337505379603
global_step=768, episodic_return=-1.5308761830536421
global_step=768, episodic_return=-2.397039895498315
global_step=832, episodic_return=-8.137283593408528
global_step=832, episodic_return=-2.195154274731628
global_step=832, episodic_return=-1.5863079578741375
global_step=832, episodic_return=2.3481812098504555
global_step=896, episodic_return=0.5883873683446199
global_step=896, episodic_return=-0.9403622535736549
global_step=896, episodic_return=-1.247941456411121
global_step=896, episodic_return=-1.9618666766070538
global_step=960, episodic_return=1.785209474054273
global_step=960, episodic_return=3.4640322635113145
global_step=960, episodic_return=-2.097423829185207
global_step=960, episodic_return=-2.300262050888362
global_step=960, episodic_return=-3.2671534750882105
global_step=960, episodic_return=-13.73170950212886
global_step=960, episodic_return=0.30774607425520784
global_step=1024, episodic_return=2.0070195290325525
global_step=1024, episodic_return=-6.39800008177518
global_step=1024, episodic_return=-0.8828075154092594
global_step=1024, episodic_return=-0.6486790628301622
global_step=1024, episodic_return=2.6380294355236917
global_step=1088, episodic_return=4.533330374737576
global_step=1088, episodic_return=0.06464138803276209
global_step=1152, episodic_return=-4.026570861157362
global_step=1152, episodic_return=2.6304218012576808
global_step=1152, episodic_return=-1.7070774078173934
global_step=1152, episodic_return=-2.2730780893272104
global_step=1216, episodic_return=-4.876344005778473
global_step=1216, episodic_return=-3.824206735359172
global_step=1280, episodic_return=-1.4690864802546393
global_step=1280, episodic_return=-5.25355747798457
global_step=1280, episodic_return=4.166863055510637
global_step=1344, episodic_return=2.2826048829001646
global_step=1344, episodic_return=-8.841651498648067
global_step=1344, episodic_return=-1.7737328451808574
global_step=1344, episodic_return=2.173437818403541
global_step=1344, episodic_return=1.2340873377845878
global_step=1408, episodic_return=7.3149596735547116
global_step=1408, episodic_return=-9.500569161859602
global_step=1472, episodic_return=-1.3782868647656568
global_step=1600, episodic_return=-2.184357866251144
global_step=1664, episodic_return=0.7042989335639878
global_step=1664, episodic_return=-0.43657929439236054
global_step=1728, episodic_return=-11.070644311453451
global_step=1728, episodic_return=-4.983592164356508
global_step=1728, episodic_return=-1.8673204293741987
global_step=1792, episodic_return=-6.5222909035539915
global_step=1792, episodic_return=-2.2263550646050336
global_step=1792, episodic_return=-5.129989133785892
global_step=1792, episodic_return=-1.4349948099803556
global_step=1792, episodic_return=-3.998322530846425
global_step=1792, episodic_return=1.768482997821088
global_step=1856, episodic_return=-2.998194379175681
global_step=1856, episodic_return=-5.544106404406568
global_step=1856, episodic_return=-8.115730374557867
global_step=1856, episodic_return=-1.288895292956745
global_step=1856, episodic_return=4.501494182465087
global_step=1920, episodic_return=10.517024447148284
global_step=1920, episodic_return=10.063637555708404
global_step=1920, episodic_return=-0.6674564288628173
global_step=1920, episodic_return=-1.6643641830680287
global_step=1984, episodic_return=-2.4633839102438797
global_step=2048, episodic_return=6.530715363210364
global_step=2048, episodic_return=-2.325200120540592
global_step=2048, episodic_return=1.6942985882783557
global_step=2112, episodic_return=2.344146272102231
global_step=2112, episodic_return=1.4187883313697287
global_step=2176, episodic_return=-0.3252467348330058
global_step=2176, episodic_return=-2.2536048494739127
global_step=2176, episodic_return=-2.4060456546675173
global_step=2176, episodic_return=-1.2111312508546943
global_step=2176, episodic_return=3.684464274343198
global_step=2176, episodic_return=-8.657545170766435
global_step=2176, episodic_return=-5.592431247179101
global_step=2176, episodic_return=0.5496925965765538
global_step=2176, episodic_return=-8.306800560607652
global_step=2240, episodic_return=1.2636724188095823
global_step=2240, episodic_return=-4.949986092212619
global_step=2240, episodic_return=10.160145815945398
global_step=2240, episodic_return=2.0505546217301074
global_step=2304, episodic_return=-4.304811355159955
global_step=2304, episodic_return=9.62075238606999
global_step=2304, episodic_return=-3.797737689338737
global_step=2304, episodic_return=4.848897997533748
global_step=2304, episodic_return=-4.1392196703617525
global_step=2368, episodic_return=-1.6417897571011608
global_step=2368, episodic_return=-2.385148861705507
global_step=2432, episodic_return=-0.4814458651353555
global_step=2432, episodic_return=1.895179310216037
global_step=2496, episodic_return=-3.6516272011557893
global_step=2496, episodic_return=-2.2068177896527352
global_step=2496, episodic_return=-3.1832272243917226
global_step=2496, episodic_return=-1.567271020782218
global_step=2560, episodic_return=-4.509732262611968
global_step=2560, episodic_return=-4.864433470483716
global_step=2560, episodic_return=-13.560182138967669
global_step=2560, episodic_return=-1.1184196574234753
global_step=2624, episodic_return=-8.502165770285151
global_step=2624, episodic_return=-6.887942194959639
global_step=2624, episodic_return=-5.909000123580606
global_step=2688, episodic_return=0.575149830888394
global_step=2688, episodic_return=4.55591618553397
global_step=2752, episodic_return=-6.405319186949263
global_step=2752, episodic_return=0.7713399504198923
global_step=2752, episodic_return=-3.813609410177439
global_step=2816, episodic_return=1.4275690407333153
