
--- Starting Training ---

global_step=576, episodic_return=-1.9922048289872185
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=640, episodic_return=-6.149353991380202
global_step=704, episodic_return=-1.1148729852812556
global_step=704, episodic_return=0.5737139307371526
global_step=704, episodic_return=-0.6157975535332287
global_step=768, episodic_return=1.3875880682659316
global_step=768, episodic_return=-1.5557747335365795
global_step=768, episodic_return=-1.7159821016873864
global_step=768, episodic_return=0.9229090101344206
global_step=768, episodic_return=-4.828681666641241
global_step=832, episodic_return=0.3011878484929127
global_step=832, episodic_return=-1.8634276529398466
global_step=832, episodic_return=2.3990805888188635
global_step=832, episodic_return=-11.324890114355204
global_step=832, episodic_return=-3.1071832727920974
global_step=832, episodic_return=-7.925468510982557
global_step=832, episodic_return=-8.456288486424166
global_step=832, episodic_return=-1.0956656246167151
global_step=896, episodic_return=1.3036402140036474
global_step=896, episodic_return=-3.2115882640663975
global_step=896, episodic_return=-3.05267859142782
global_step=960, episodic_return=1.5444094534872335
global_step=960, episodic_return=-3.429578238547702
global_step=960, episodic_return=-2.5379175068672253
global_step=960, episodic_return=-8.445783597548582
global_step=1024, episodic_return=0.4944316692967894
global_step=1088, episodic_return=-4.815893245302146
global_step=1088, episodic_return=-7.928860362052693
global_step=1088, episodic_return=0.5036778084251659
global_step=1088, episodic_return=-6.714174199473973
global_step=1088, episodic_return=-0.7558211680263508
global_step=1152, episodic_return=-1.1858210646968437
global_step=1152, episodic_return=-1.5989183948828904
global_step=1152, episodic_return=-0.7322395452126407
global_step=1152, episodic_return=-19.06679547869302
global_step=1152, episodic_return=5.144488674579076
global_step=1152, episodic_return=-2.7823179354395156
global_step=1216, episodic_return=4.312498887440719
global_step=1216, episodic_return=2.9792942114916725
global_step=1280, episodic_return=2.749475090776416
global_step=1280, episodic_return=5.91996128190406
global_step=1280, episodic_return=-3.267386250030608
global_step=1408, episodic_return=4.345118424559934
global_step=1408, episodic_return=3.403448250660297
global_step=1472, episodic_return=-1.7985754760526527
global_step=1472, episodic_return=-2.5420159835058014
global_step=1472, episodic_return=-6.72820212534137
global_step=1536, episodic_return=2.3431207954570334
global_step=1536, episodic_return=-0.06351876752492336
global_step=1600, episodic_return=-6.814011743997063
global_step=1600, episodic_return=13.49151140195219
global_step=1600, episodic_return=-4.317910670198049
global_step=1600, episodic_return=-5.175238225255738
global_step=1664, episodic_return=-0.9217108040701012
global_step=1664, episodic_return=-1.8440958841532564
global_step=1664, episodic_return=-4.521967514951479
global_step=1664, episodic_return=-6.511585058080759
global_step=1664, episodic_return=-9.940561415826298
global_step=1664, episodic_return=-0.8531586262938797
global_step=1728, episodic_return=-7.1252242164402855
global_step=1728, episodic_return=-2.2717692212215397
global_step=1728, episodic_return=-0.11472672085265234
global_step=1792, episodic_return=0.22270854964879017
global_step=1792, episodic_return=6.268879423045307
global_step=1856, episodic_return=-1.501847413445366
global_step=1856, episodic_return=0.6712034083597883
global_step=1920, episodic_return=3.030578249773398
global_step=1920, episodic_return=0.4270929483523151
global_step=1920, episodic_return=-4.788413350426364
global_step=1920, episodic_return=4.2444333846457205
global_step=1920, episodic_return=-2.0771385870261003
global_step=1920, episodic_return=2.3049293993107254
global_step=1984, episodic_return=-4.927956491946231
global_step=2048, episodic_return=3.629306983809377
global_step=2048, episodic_return=-0.6707479549630999
global_step=2112, episodic_return=3.188135038523938
global_step=2112, episodic_return=-2.68573295294893
global_step=2112, episodic_return=-5.385733828277532
global_step=2112, episodic_return=-1.4841950363540581
global_step=2112, episodic_return=-0.9124991834754745
global_step=2176, episodic_return=-6.6843045163374315
global_step=2176, episodic_return=-4.78268992084102
global_step=2176, episodic_return=-7.917858514443974
global_step=2176, episodic_return=8.621663023359307
global_step=2240, episodic_return=-3.4237135169267305
global_step=2240, episodic_return=13.29950834446411
global_step=2240, episodic_return=-4.7156260443822795
global_step=2240, episodic_return=-1.5156493887240514
global_step=2304, episodic_return=-3.9546387496941207
global_step=2304, episodic_return=-1.1585922416713421
global_step=2368, episodic_return=-3.422383788580376
global_step=2368, episodic_return=-9.982286104617199
global_step=2368, episodic_return=-1.988726424765187
global_step=2368, episodic_return=-2.62476773678489
global_step=2368, episodic_return=7.111474049859911
global_step=2432, episodic_return=4.288389604015251
global_step=2432, episodic_return=-1.4166730175405384
global_step=2432, episodic_return=-1.8344886914817726
global_step=2432, episodic_return=2.7669914287715662
global_step=2432, episodic_return=-3.473714878775465
global_step=2496, episodic_return=5.96945993652751
global_step=2496, episodic_return=-5.056282711023522
global_step=2496, episodic_return=2.7157193036758063
global_step=2496, episodic_return=7.509251986079536
global_step=2496, episodic_return=-6.5139670751157945
global_step=2496, episodic_return=-0.5315247569367407
global_step=2560, episodic_return=-4.117131342022302
global_step=2560, episodic_return=-8.346516694698126
global_step=2560, episodic_return=10.836450622607124
global_step=2560, episodic_return=-2.7810348794852495
global_step=2560, episodic_return=-0.23919800497717225
global_step=2624, episodic_return=4.285688214823742
global_step=2624, episodic_return=-1.9677075535305508
global_step=2624, episodic_return=-4.80317273679611
global_step=2752, episodic_return=-4.8668264025824675
global_step=2816, episodic_return=1.4332818559621705
global_step=2816, episodic_return=-2.761153961477127
global_step=2880, episodic_return=-0.08578756034015533
global_step=2880, episodic_return=10.18095608944985
global_step=2880, episodic_return=-1.610859148504454
global_step=2880, episodic_return=0.6935700270102365
global_step=2880, episodic_return=-4.88088948827128
global_step=2944, episodic_return=-2.638041463191649
global_step=2944, episodic_return=4.7173138712115685
global_step=2944, episodic_return=-2.9918939559258018
global_step=3008, episodic_return=3.859780137159913
global_step=3008, episodic_return=-8.566657030565235
global_step=3008, episodic_return=-0.763475821661837
global_step=3008, episodic_return=-2.8307125200311942
global_step=3008, episodic_return=-7.146948157468012
global_step=3008, episodic_return=-6.1857581300206075
global_step=3072, episodic_return=-1.6074778896856565
global_step=3072, episodic_return=7.896337000254189
global_step=3072, episodic_return=9.749073741984038
global_step=3136, episodic_return=0.34945874649505404
global_step=3200, episodic_return=-2.2152664038075516
global_step=3264, episodic_return=-9.40000543428173
global_step=3264, episodic_return=1.946496794058652
global_step=3264, episodic_return=2.3271078269049807
global_step=3264, episodic_return=-3.9892934500102637
global_step=3264, episodic_return=-2.979793795945731
global_step=3328, episodic_return=-1.4658469046021012
global_step=3328, episodic_return=-1.9738141628462247
global_step=3328, episodic_return=-2.840425342508692
global_step=3328, episodic_return=-1.59853759834531
global_step=3328, episodic_return=1.0691411205867758
global_step=3392, episodic_return=1.298372948968642
global_step=3392, episodic_return=-7.232478327702292
global_step=3392, episodic_return=-4.482427527376322
global_step=3456, episodic_return=8.151556266583153
global_step=3456, episodic_return=-1.2986708199178627
global_step=3456, episodic_return=-9.803628307780562
global_step=3520, episodic_return=-8.985795742369934
global_step=3520, episodic_return=-4.585853924387946
global_step=3584, episodic_return=-1.3518412930782562
global_step=3648, episodic_return=-8.308352809661288
global_step=3712, episodic_return=-1.9588552287611198
global_step=3712, episodic_return=2.0310812485209606
global_step=3712, episodic_return=1.7901199054329253
global_step=3712, episodic_return=1.6096835354367034
global_step=3712, episodic_return=0.3061678131129719
global_step=3776, episodic_return=-0.8519311963302252
global_step=3776, episodic_return=-1.336872287769382
global_step=3776, episodic_return=9.648697885969613
global_step=3776, episodic_return=0.686257296557176
global_step=3776, episodic_return=-0.4726195200979699
global_step=3776, episodic_return=-3.189820151395803
global_step=3840, episodic_return=-0.2543235616866806
global_step=3840, episodic_return=-0.45308647367756416
global_step=3840, episodic_return=-3.88162581521353
global_step=3840, episodic_return=-3.078512915460643
global_step=3840, episodic_return=-3.4204972530626496
global_step=3840, episodic_return=-3.336258777074012
global_step=3904, episodic_return=-3.358296334308781
global_step=3904, episodic_return=-5.956573299285529
global_step=3904, episodic_return=-1.4151093117722864
global_step=3904, episodic_return=6.269271833881675
global_step=3904, episodic_return=-0.48622565697495235
global_step=3904, episodic_return=-2.8600893141862382
global_step=3968, episodic_return=3.4553224682688675
global_step=3968, episodic_return=7.74141451051656
global_step=3968, episodic_return=4.0770493656451645
global_step=3968, episodic_return=-0.8033476039546814
global_step=4032, episodic_return=-2.393062288005778
global_step=4032, episodic_return=-3.8085889216666957
global_step=4032, episodic_return=-3.4553512738627767
global_step=4032, episodic_return=-5.506566735724927
global_step=4096, episodic_return=3.147207278235802
global_step=4096, episodic_return=-3.1842620855922803
global_step=4096, episodic_return=6.95837042962402
global_step=4096, episodic_return=0.3581455949787553
global_step=4160, episodic_return=-11.333006570311094
global_step=4224, episodic_return=6.716250445960174
global_step=4224, episodic_return=-2.425831461232778
global_step=4288, episodic_return=1.39790598364928
global_step=4288, episodic_return=-3.447819732231482
global_step=4352, episodic_return=-10.591859361995478
global_step=4416, episodic_return=4.520532540453993
global_step=4416, episodic_return=7.987123022493516
global_step=4416, episodic_return=-1.751820829052952
global_step=4416, episodic_return=-3.5922532668573206
global_step=4480, episodic_return=2.1398558056183985
global_step=4480, episodic_return=-1.150269863208911
global_step=4480, episodic_return=-2.5139691641038846
global_step=4480, episodic_return=-3.639680091423843
global_step=4544, episodic_return=-2.3670861085169457
global_step=4544, episodic_return=-8.340201100418431
global_step=4544, episodic_return=-4.998995618591353
global_step=4544, episodic_return=-1.835143250162283
global_step=4544, episodic_return=-4.016712476532469
global_step=4544, episodic_return=4.50434068064456
global_step=4608, episodic_return=-2.7233769353498594
global_step=4608, episodic_return=-5.329773050789491
global_step=4608, episodic_return=-10.32641222097895
global_step=4672, episodic_return=0.9251352555845979
global_step=4736, episodic_return=4.015502016623777
global_step=4736, episodic_return=-3.212731699938714
global_step=4736, episodic_return=-0.5392563927015821
global_step=4736, episodic_return=4.344794085411989
global_step=4736, episodic_return=4.222323116859837
global_step=4736, episodic_return=-0.45088613132949873
global_step=4736, episodic_return=-2.691493093389471
global_step=4800, episodic_return=-4.669087387130235
global_step=4800, episodic_return=-3.6310058937456064
global_step=4800, episodic_return=0.03291602707123398
global_step=4800, episodic_return=-6.37721170333397
global_step=4864, episodic_return=-7.048649297743392
global_step=4864, episodic_return=-0.9356963054647407
global_step=4864, episodic_return=-2.3863923640729476
global_step=4928, episodic_return=-8.231173973470414
global_step=4928, episodic_return=-7.403603858489701
global_step=4928, episodic_return=-0.4376821439162831
global_step=4928, episodic_return=12.393590599518943
global_step=4928, episodic_return=3.1278061599007705
global_step=4992, episodic_return=-6.572983774493054
global_step=4992, episodic_return=0.1264376179129012
global_step=4992, episodic_return=0.31162605511718455
global_step=5184, episodic_return=1.456330513106494
global_step=5184, episodic_return=-1.5911107504710391
global_step=5184, episodic_return=-4.818669992161192
global_step=5184, episodic_return=0.49029691908518824
global_step=5248, episodic_return=-6.759581260219143
global_step=5248, episodic_return=6.120647837435482
global_step=5248, episodic_return=-7.254282348307383
global_step=5248, episodic_return=-4.228343357440238
global_step=5312, episodic_return=-0.08682990705139404
global_step=5312, episodic_return=-5.487707546770729
global_step=5312, episodic_return=2.979536982542234
global_step=5312, episodic_return=2.599520935142472
global_step=5312, episodic_return=0.4187055342138031
global_step=5312, episodic_return=6.418502952152265
global_step=5376, episodic_return=-4.781058293889211
global_step=5376, episodic_return=-9.100463536923021
global_step=5440, episodic_return=-0.03736819599724894
global_step=5504, episodic_return=-4.4200849702654
global_step=5504, episodic_return=-1.4128932896277997
global_step=5568, episodic_return=4.446368930263302
global_step=5568, episodic_return=-5.473729257543185
global_step=5568, episodic_return=-5.614344579978664
global_step=5696, episodic_return=-0.0019921483537156393
global_step=5696, episodic_return=5.156069234453187
global_step=5696, episodic_return=5.33383013064135
global_step=5696, episodic_return=-1.2948655661090371
global_step=5696, episodic_return=-3.9421861176812105
global_step=5760, episodic_return=-0.2465890288575332
global_step=5760, episodic_return=-5.922369677199288
global_step=5824, episodic_return=-10.738581439618738
global_step=5824, episodic_return=-5.8917854949790245
global_step=5824, episodic_return=0.996535509018186
global_step=5824, episodic_return=-3.591216212704689
global_step=5888, episodic_return=9.344323610979373
global_step=5888, episodic_return=0.9561921309804453
global_step=5888, episodic_return=-1.6396390895807471
global_step=5888, episodic_return=-4.300530574588692
global_step=5888, episodic_return=-6.177776519473932
global_step=5888, episodic_return=-3.5522271365218154
